participant,map,coords
35,ND_PX_0,"8,3,7,3,6,3,5,3,4,3,3,3,2,3,2,2"
35,NX_UN_0,"8,5,7,5,7,4,7,3,7,2,8,2"
35,NX_NX_0,"8,4,7,4,6,4,5,4,5,5,5,6,5,7,5,8,4,8,3,8,2,8"
35,PX_PX_0,"6,2,6,3,6,4,5,4,4,4,3,4,3,5,3,6,3,7,3,8,2,8"
35,DX_NX_0,"5,2,4,2,4,3,4,4,4,5,4,6,3,6,2,6,2,7,2,8"
35,UN_PX_0,"6,8,6,7,6,6,6,5,5,5,4,5,3,5,2,5,2,4,2,3,2,2"
35,ND_PX_1,"8,4,7,4,6,4,5,4,4,4,4,3,4,2,3,2,2,2"
35,PX_DX_0,"2,4,2,5,2,6,2,7,2,8"
35,ND_DX_0,"8,5,7,5,6,5,5,5,4,5,4,4,4,3,4,2,3,2,2,2"
35,ND_NX_0,"8,5,7,5,6,5,5,5,4,5,3,5,2,5,2,6,2,7,2,8"
35,ND_UN_0,"8,7,7,7,6,7,5,7,4,7,3,7,2,7,2,8"
35,ND_DX_1,"8,3,7,3,6,3,6,2,5,2,4,2,3,2,2,2"
35,NX_DX_0,"7,8,7,7,7,6,7,5,6,5,5,5,5,6,5,7,4,7,3,7,2,7,2,8"
35,ND_NX_1,"8,3,7,3,6,3,5,3,4,3,3,3,2,3,2,2"
35,DX_UN_0,"5,8,5,7,5,6,5,5,5,4,5,3,5,2,6,2,7,2,8,2"
35,UN_NX_0,"7,2,7,3,7,4,7,5,7,6,7,7,6,7,5,7,4,7,3,7,3,8,2,8"
35,PX_NX_0,"7,8,7,7,7,6,7,5,7,4,6,4,5,4,5,3,5,2,4,2,3,2,2,2"
35,UN_DX_0,"2,5,3,5,4,5,5,5,5,6,5,7,5,8,4,8,3,8,2,8"
35,UN_UN_0,"8,5,7,5,6,5,5,5,4,5,3,5,2,5,2,4,2,3,2,2"
35,DX_DX_0,"5,2,5,3,5,4,5,5,5,6,4,6,3,6,2,6,2,7,2,8"
35,NX_PX_0,"6,8,6,7,6,6,6,5,5,5,4,5,3,5,2,5,2,6,2,7,2,8"
35,PX_UN_0,"8,4,8,5,8,6,7,6,6,6,6,5,6,4,6,3,6,2,7,2,8,2"
35,DX_PX_0,"8,7,7,7,6,7,6,6,6,5,6,4,6,3,6,2,7,2,8,2"
