1,2,3,trial_num,layout,A,B,C,unique_id
0.44,0.5,-1,7,DX_PX_0,0.47,0.47,0.31,r9n30DP
0.92,0.09,-1,8,DX_NX_0,0.72,0.02,0.67,r9n30DP
0.03,0.86,0.87,9,NX_NX_0,0.81,0.02,0.84,r9n30DP
0.5,0.48,0.51,10,NX_DX_0,0.03,0.03,0.98,r9n30DP
-1,-1,-1,11,ND_NX_1,0.48,0,0.46,r9n30DP
0.47,0.52,-1,12,UN_NX_0,0.01,0.53,0.53,r9n30DP
0.02,1,-1,13,DX_UN_0,0.5,0.5,0.06,r9n30DP
0.54,0.4,0.42,14,NX_PX_0,0.47,0.49,0,r9n30DP
0.46,0.49,-1,15,UN_UN_0,0.49,0.46,0.48,r9n30DP
0.48,0.47,-1,16,DX_DX_0,0.03,0.47,0.47,r9n30DP
-1,-1,-1,17,ND_PX_0,0.88,0,0.14,r9n30DP
-1,-1,-1,18,ND_DX_1,1,0,0.02,r9n30DP
0.54,0.49,0,19,PX_NX_0,0.56,0.56,0.02,r9n30DP
0.5,0,0.24,20,PX_PX_0,0.59,0,0.44,r9n30DP
-1,-1,-1,21,ND_UN_0,0.53,0.49,0.13,r9n30DP
-1,-1,-1,22,ND_NX_0,0.62,0,0.63,r9n30DP
-1,-1,-1,23,ND_PX_1,0.51,0.51,0,r9n30DP
-1,-1,-1,1,ND_DX_0,0.94,0.03,0.29,e7K5Fu1
0.01,0.98,-1,2,DX_UN_0,0.55,0.58,0.59,e7K5Fu1
0.85,0.59,-1,3,DX_DX_0,0.05,0.07,0.93,e7K5Fu1
0.47,0.46,-1,4,UN_UN_0,0.46,0.48,0.48,e7K5Fu1
0.89,0.61,-1,5,DX_NX_0,0.78,0.01,0.79,e7K5Fu1
0.98,0.21,-1,6,UN_DX_0,0.05,0.03,0.97,e7K5Fu1
0.78,0.98,-1,7,UN_NX_0,0.03,0.03,0.93,e7K5Fu1
-1,-1,-1,8,ND_PX_0,0.96,0.03,0.4,e7K5Fu1
-1,-1,-1,9,ND_DX_1,0.97,0.83,0.01,e7K5Fu1
-1,-1,-1,10,ND_NX_0,0.9,0.03,0.91,e7K5Fu1
0.81,0.8,0.8,11,NX_PX_0,0.98,0.51,0.01,e7K5Fu1
0.59,0.88,0.02,12,NX_UN_0,0.88,0.63,0.48,e7K5Fu1
0.78,0.63,-1,13,DX_PX_0,0.64,0.66,0.69,e7K5Fu1
0.65,0.51,-1,14,UN_PX_0,0.57,0.05,0.88,e7K5Fu1
0.93,0.5,0.02,15,PX_NX_0,0.81,0.81,0.05,e7K5Fu1
0.2,0.17,0.9,16,PX_PX_0,0.96,0.18,0.01,e7K5Fu1
-1,-1,-1,17,ND_PX_1,0.61,0.97,0.01,e7K5Fu1
-1,-1,-1,18,ND_UN_0,0.52,0.52,0.53,e7K5Fu1
0.95,0.46,0.03,19,PX_UN_0,0.56,0.58,0.55,e7K5Fu1
0.48,0.48,0.47,20,NX_DX_0,0.12,0.05,0.97,e7K5Fu1
0.14,0.12,0.95,21,PX_DX_0,0.05,0.06,0.87,e7K5Fu1
0.03,0.82,0.44,22,NX_NX_0,0.59,0.02,0.61,e7K5Fu1
-1,-1,-1,23,ND_NX_1,0.57,0.02,0.46,e7K5Fu1
0.13,0.76,-1,1,DX_DX_0,0.03,0.03,0.86,9UhOHcJ
0,1,-1,2,DX_UN_0,0.17,0.24,1,9UhOHcJ
0.5,0.46,-1,3,UN_UN_0,0.31,0.39,0.31,9UhOHcJ
0.92,0.2,0,4,NX_PX_0,0.07,0.92,0,9UhOHcJ
-1,-1,-1,5,ND_PX_0,0.89,0,0.1,9UhOHcJ
0,0.07,0.92,6,NX_NX_0,0.3,0,0.91,9UhOHcJ
-1,-1,-1,7,ND_NX_1,0.85,0.71,0.22,9UhOHcJ
0.99,0.05,0.01,8,NX_DX_0,0,0,1,9UhOHcJ
1,0,-1,9,DX_NX_0,0.79,0,0.95,9UhOHcJ
0.87,0.19,0,10,NX_UN_0,0.55,0.87,0.08,9UhOHcJ
0.89,0.13,-1,11,UN_PX_0,0.84,0,0.75,9UhOHcJ
1,0.04,0.04,12,PX_PX_0,0,0,1,9UhOHcJ
-1,-1,-1,13,ND_DX_1,0,1,0,9UhOHcJ
-1,-1,-1,14,ND_PX_1,0.87,0.79,0,9UhOHcJ
0.31,0.9,-1,15,UN_DX_0,0,0,1,9UhOHcJ
-1,-1,-1,16,ND_DX_0,1,0,0,9UhOHcJ
-1,-1,-1,17,ND_NX_0,0.81,0,0.82,9UhOHcJ
0.12,0.87,-1,18,UN_NX_0,0.03,0.91,0.06,9UhOHcJ
-1,-1,-1,19,ND_UN_0,0.69,0.66,0.22,9UhOHcJ
0.87,0.07,0,20,PX_UN_0,0.56,0.85,0.25,9UhOHcJ
0.12,0,0.91,21,PX_DX_0,0,0,1,9UhOHcJ
0.05,0.91,-1,22,DX_PX_0,0.27,0.92,0,9UhOHcJ
1,0.2,0.21,23,PX_NX_0,0.7,0.71,0,9UhOHcJ
-1,-1,-1,1,ND_DX_1,0,0.81,0,cuFxip4
-1,-1,-1,2,ND_NX_0,0.54,0.68,0.52,cuFxip4
0.07,0.07,0.69,3,NX_DX_0,0.09,0.04,0.83,cuFxip4
0.65,0,-1,4,UN_PX_0,1,0.02,0.05,cuFxip4
0.95,0.03,0.04,5,PX_UN_0,0.01,0.94,0.03,cuFxip4
0.06,0.94,-1,6,UN_NX_0,0.03,0.04,1,cuFxip4
0.95,0.03,-1,7,DX_NX_0,0.97,0.12,0.1,cuFxip4
0.98,0.06,-1,8,UN_DX_0,1,0.04,0.04,cuFxip4
-1,-1,-1,9,ND_NX_1,0.06,0.99,0.04,cuFxip4
-1,-1,-1,10,ND_PX_0,0.02,0.92,0.02,cuFxip4
-1,-1,-1,11,ND_DX_0,1,0.08,0.05,cuFxip4
-1,-1,-1,12,ND_PX_1,1,0.05,0.02,cuFxip4
1,0.02,0.04,13,PX_NX_0,0.97,0.98,1,cuFxip4
-1,-1,-1,14,ND_UN_0,0.04,1,0.04,cuFxip4
0.07,1,0.06,15,NX_NX_0,0.04,0,1,cuFxip4
0.97,0.06,0.04,16,NX_UN_0,0.03,1,0.01,cuFxip4
0.07,1,-1,17,DX_DX_0,0.06,0.06,0.94,cuFxip4
1,0.02,0.02,18,NX_PX_0,0.02,1,0.05,cuFxip4
0.99,0.03,-1,19,UN_UN_0,0.07,0.96,0.03,cuFxip4
0,0,1,20,PX_DX_0,1,0.02,0.02,cuFxip4
0,1,-1,21,DX_UN_0,0.02,0,1,cuFxip4
1,0.01,0.06,22,PX_PX_0,1,0.04,0.03,cuFxip4
1,0,-1,23,DX_PX_0,0,1,0.01,cuFxip4
