MapHeight,MapWidth,Scene,Probability,Obs0,Obs1,Obs2,Obs3,Obs4,Obs5,Obs6,Obs7,Obs8,Obs9,Obs10,Obs11,Obs12,Obs13,Obs14,Obs15,Obs16,Obs17,Obs18,Obs19,Obs20,Obs21,Obs22
11,11,46,0.0009407696456750247,2,2,0,2,2,0,0,0,2,2,2,3,3,3,1,1,3,3,3,1,1,3,3
11,11,46,0.0007122450603531918,2,2,2,0,0,2,0,0,2,2,2,3,3,3,1,1,3,3,1,1,3,3,3
11,11,46,0.000664247733655503,2,0,2,2,0,2,0,0,2,2,2,1,1,1,3,3,3,1,3,3,3,3,3
11,11,46,0.0012947705948207807,2,0,0,2,2,2,0,0,2,2,2,1,3,1,1,3,3,3,3,1,3,3,3
11,11,46,0.0013379185934479796,2,2,0,2,2,0,0,0,2,2,2,1,3,1,1,3,1,3,3,3,3,3,3
11,11,46,0.006068768762215597,2,2,0,0,2,2,0,0,2,2,2,1,3,1,1,3,1,3,3,3,3,3,3
11,11,46,0.0029954519915418813,2,2,0,2,0,2,0,0,2,2,2,1,1,3,1,1,3,3,3,3,3,3,3
11,11,46,0.0055665326709150986,2,0,0,2,2,2,0,0,2,2,2,1,3,1,1,3,3,1,3,3,3,3,3
11,11,46,0.00039940829380579764,2,2,0,2,0,2,0,0,2,2,2,1,3,1,1,3,3,3,3,3,1,3,3
11,11,46,0.00013269524992885772,2,0,2,2,2,0,0,0,2,2,2,3,1,1,1,3,3,3,3,3,1,3,3
11,11,46,0.0005357405397875227,2,0,2,2,2,0,0,0,2,2,2,1,1,1,3,3,1,3,3,3,3,3,3
11,11,46,0.00040227380584745076,2,2,2,0,2,0,0,0,2,2,2,3,1,1,1,3,3,3,3,1,3,3,3
11,11,46,0.0003574726271962209,2,2,0,2,2,0,0,0,2,2,2,3,3,3,1,1,3,1,3,3,1,3,3
11,11,46,0.0017393107032826131,2,0,2,2,0,2,0,0,2,2,2,3,3,3,1,1,3,1,1,3,3,3,3
11,11,46,0.0007638793831037481,2,2,2,0,0,2,0,0,2,2,2,3,3,3,1,1,1,3,3,1,3,3,3
11,11,46,0.0003098610425041391,2,0,2,2,0,2,0,0,2,2,2,1,1,1,3,3,3,3,3,3,1,3,3
11,11,46,0.0002650598638529093,2,2,0,2,2,0,0,0,2,2,2,1,3,1,1,3,3,3,1,3,3,3,3
11,11,46,0.0015187764880769295,2,2,0,0,2,2,0,0,2,2,2,1,3,1,1,3,3,3,1,3,3,3,3
11,11,46,0.0008910089269517028,2,2,2,0,0,2,0,0,2,2,2,3,3,3,1,1,3,3,1,3,1,3,3
11,11,46,0.011109039125480962,2,2,0,0,2,2,0,0,2,2,2,3,1,1,1,1,3,3,3,3,3,3,3
11,11,46,8.976767530486263e-05,2,2,0,2,2,0,0,0,2,2,2,1,1,3,1,3,3,3,3,1,3,3,3
11,11,46,0.02386089834684208,3,0,0,3,3,3,3,3,3,2,2,2,2,2,1,2,1,2,2
11,11,46,0.0002699091919233991,2,2,0,0,2,2,0,0,2,2,2,1,1,3,1,3,3,3,3,1,3,3,3
11,11,46,0.00035537859916578215,2,2,2,0,2,0,0,0,2,2,2,3,3,3,1,1,3,1,3,1,3,3,3
11,11,46,0.00013341162793927095,2,0,2,2,2,0,0,0,2,2,2,1,1,1,3,3,3,3,1,3,3,3,3
11,11,46,0.0005796600224259361,2,0,2,0,2,2,0,0,2,2,2,1,1,1,3,3,3,3,1,3,3,3,3
