MapHeight,MapWidth,Scene,Probability,Obs0,Obs1,Obs2,Obs3,Obs4,Obs5,Obs6,Obs7,Obs8,Obs9,Obs10,Obs11,Obs12,Obs13,Obs14,Obs15,Obs16,Obs17,Obs18,Obs19,Obs20
11,11,70,0.0003223156318234583,3,3,3,0,3,3,3,0,0,3,2,1,1,2,1,2,2,2,2,2,2
11,11,70,0.000775496257018847,3,3,3,3,3,0,0,0,3,3,1,2,2,1,2,1,2,2,2,2,2
11,11,70,0.0003320093350361939,3,3,3,3,0,3,3,0,0,3,2,2,2,2,2,1,1,1,2,2,2
11,11,70,0.00037563099949350403,3,3,0,3,3,3,0,3,0,3,2,2,2,1,2,1,2,2,1,2,2
11,11,70,0.00036351387047758453,3,3,3,3,0,3,3,0,3,0,2,2,1,2,2,2,2,1,1,2,2
11,11,70,0.00037563099949350403,3,3,0,3,3,3,3,0,0,3,2,2,2,2,2,2,1,1,1,2,2
11,11,70,0.00036109044467440065,3,3,3,3,0,3,0,3,3,0,2,1,2,2,2,1,2,2,1,2,2
11,11,70,0.00037078414788713627,3,0,3,3,3,3,3,3,0,0,1,2,2,2,1,2,2,2,1,2,2
11,11,70,0.0003829012769030557,3,3,0,3,3,3,3,3,0,0,1,2,2,2,1,2,1,2,2,2,2
11,11,70,0.00037563099949350403,3,3,3,3,3,0,0,3,3,0,2,2,2,1,2,1,2,1,2,2,2
11,11,70,0.00037078414788713627,3,3,3,0,3,3,3,3,0,0,1,1,2,2,2,2,1,2,2,2,2
11,11,70,0.0003586670188712167,3,3,3,3,3,0,0,3,3,0,2,1,2,2,1,1,2,2,2,2,2
11,11,70,0.0007342980183647208,3,3,0,3,3,3,0,0,3,3,1,2,2,2,2,2,2,1,1,2,2
11,11,70,0.0003320093350361939,3,3,3,3,0,3,3,0,0,3,1,2,2,1,2,2,1,2,2,2,2
11,11,70,0.0010905416114327536,3,0,3,3,3,3,3,0,3,0,2,1,1,2,2,1,2,2,2,2,2
11,11,70,0.0007876133860347666,3,3,3,3,3,0,3,3,0,0,1,1,2,2,2,2,2,1,2,2,2
11,11,70,0.0010905416114327536,3,3,3,0,3,3,3,0,3,0,2,1,1,2,2,1,2,2,2,2,2
11,11,70,0.00036351387047758453,3,3,0,3,3,3,0,0,3,3,2,2,2,1,2,2,2,1,1,2,2
11,11,70,0.001015415411534053,3,0,3,3,3,3,0,3,0,3,1,2,2,2,2,1,1,2,2,2,2
11,11,70,0.00037078414788713627,3,3,3,3,3,0,3,3,0,0,1,2,1,2,2,1,2,2,2,2,2
11,11,70,0.000399865257525343,3,3,3,3,0,3,3,0,3,0,1,2,2,1,2,1,2,2,2,2,2
11,11,70,0.00037078414788713627,3,3,3,3,3,0,0,0,3,3,2,2,1,1,2,2,2,1,2,2,2
11,11,70,0.0007633791280029275,3,3,3,3,0,3,3,3,0,0,1,2,2,2,2,2,1,2,1,2,2
11,11,70,0.00036351387047758453,3,0,3,3,3,3,0,3,0,3,1,2,2,2,1,2,1,2,2,2,2
11,11,70,0.001466172610926258,3,3,0,3,3,3,3,3,0,0,2,1,1,2,1,2,2,2,2,2,2
11,11,70,0.0015146411269899357,3,3,3,3,3,0,3,0,3,0,2,1,1,2,1,2,2,2,2,2,2
11,11,70,0.00036109044467440065,3,3,3,3,0,3,0,3,3,0,2,2,2,1,1,2,1,2,2,2,2
11,11,70,0.0003586670188712167,3,3,3,3,0,3,3,3,0,0,2,2,1,1,2,2,2,1,2,2,2
11,11,70,0.00037078414788713627,3,0,3,3,3,3,0,3,3,0,2,1,1,2,2,1,2,2,2,2,2
11,11,70,0.0003950184059189752,3,3,0,3,3,3,0,0,3,3,2,2,2,2,1,1,2,1,2,2,2
