MapHeight,MapWidth,Scene,Probability,Obs0,Obs1,Obs2,Obs3,Obs4,Obs5,Obs6,Obs7,Obs8,Obs9,Obs10,Obs11,Obs12,Obs13,Obs14,Obs15,Obs16,Obs17,Obs18,Obs19,Obs20,Obs21,Obs22,Obs23,Obs24,Obs25
11,11,83,0.00017936648332063983,86,85,84,83,82,81,80,69,68,57,46,35,24,35,46,57,68,69,70,71,82,83,84,85,86,87
11,11,83,0.00010761988999238391,86,85,84,83,82,71,60,49,38,37,36,35,24,25,36,47,58,69,80,81,82,83,84,85,86,87
11,11,83,0.00017936648332063983,86,85,84,83,82,71,60,59,58,47,46,35,24,25,36,47,58,59,60,71,82,83,84,85,86,87
11,11,83,3.587329666412797e-05,86,85,84,83,82,71,60,49,38,37,36,35,24,35,46,47,58,59,60,71,82,83,84,85,86,87
11,11,83,0.0003946062633054076,86,85,84,83,82,81,70,59,48,37,26,25,24,25,36,47,48,49,60,71,82,83,84,85,86,87
11,11,83,0.0010403256032597114,86,85,84,83,82,81,80,79,68,57,46,35,24,25,36,47,58,69,80,81,82,83,84,85,86,87
11,11,83,0.0012555653832444795,86,85,84,83,82,71,70,59,58,57,46,35,24,35,36,37,38,49,60,71,82,83,84,85,86,87
11,11,83,0.00028698637331302376,86,85,84,83,82,71,70,59,48,37,26,25,24,25,26,37,48,49,60,71,82,83,84,85,86,87
11,11,83,0.0006815926366184313,86,85,84,83,82,71,60,49,38,39,40,41,30,41,52,51,62,61,60,71,82,83,84,85,86,87
11,11,83,0.0005022261532977915,86,85,84,83,82,71,70,59,58,47,46,35,24,35,36,37,38,49,60,71,82,83,84,85,86,87
11,11,83,3.587329666412797e-05,86,85,84,83,82,71,70,59,48,47,36,25,24,35,36,47,48,59,70,71,82,83,84,85,86,87
11,11,83,3.587329666412797e-05,86,85,84,83,82,81,70,59,48,37,36,35,24,25,36,47,48,59,70,81,82,83,84,85,86,87
11,11,83,0.00017936648332063983,86,85,84,83,82,81,70,59,48,47,46,35,24,25,26,37,48,59,60,71,82,83,84,85,86,87
