MapHeight,MapWidth,Scene,Probability,Obs0,Obs1,Obs2,Obs3,Obs4,Obs5,Obs6,Obs7,Obs8,Obs9,Obs10,Obs11,Obs12,Obs13,Obs14,Obs15,Obs16,Obs17,Obs18,Obs19,Obs20,Obs21,Obs22,Obs23,Obs24
11,11,38,0.0002533097748264539,0,0,0,0,0,0,0,3,3,3,3,3,2,2,1,2,2,1,1,2,1,1,1,1,1
11,11,38,0.00014026243730059845,0,0,0,0,3,0,0,0,3,3,3,3,2,1,1,1,2,2,2,1,2,1,1,1,1
11,11,38,0.000541161791674697,0,0,0,0,3,0,0,0,3,3,3,3,1,1,1,1,1,1,2,2,2,2,2,1,1
11,11,38,0.00027319773235415066,0,0,0,0,0,0,0,3,3,3,3,3,1,1,2,2,1,1,2,2,2,1,1,1,1
11,11,38,0.00027947813999447597,0,0,0,0,0,0,0,3,3,3,3,3,2,1,1,2,1,2,1,1,1,2,2,1,1
11,11,38,0.0001475895795476446,0,0,0,0,3,0,3,3,3,0,3,0,2,2,2,2,1,2,1,1,1,1,1,1,1
11,11,38,0.00013816896808715664,0,0,0,0,0,3,0,3,0,3,3,3,1,1,2,1,2,1,2,1,1,2,2,1,1
11,11,38,0.00014235590651404023,0,0,0,0,0,0,3,0,3,3,3,3,2,2,1,2,2,1,1,2,1,1,1,1,1
11,11,38,0.00014235590651404023,0,0,0,0,3,3,0,3,0,0,3,3,1,2,1,1,1,1,1,2,2,2,2,1,1
11,11,38,0.0001475895795476446,0,0,0,0,0,0,3,0,3,3,3,3,1,1,2,2,1,1,2,2,2,1,1,1,1
11,11,38,0.00013293529505355224,0,0,0,0,3,3,3,0,0,0,3,3,1,2,2,1,2,1,2,1,2,1,1,1,1
11,11,38,0.00012037447977290165,0,0,0,0,3,3,3,0,0,3,3,0,2,1,1,1,1,1,2,1,2,2,2,1,1
11,11,38,0.00012351468359306429,0,0,0,0,3,0,0,0,3,3,3,3,1,2,2,1,1,1,2,1,2,1,2,1,1
11,11,38,0.00013188856044683134,0,0,0,0,3,0,3,0,0,3,3,3,1,2,1,2,1,1,2,2,1,2,1,1,1
11,11,38,0.0001151408067392972,0,0,0,0,0,0,3,3,0,3,3,3,1,2,1,2,2,1,1,1,1,2,2,1,1
11,11,38,0.0001151408067392972,0,0,0,0,3,3,3,0,0,0,3,3,2,1,1,1,1,1,2,2,2,1,2,1,1
11,11,38,0.00013293529505355224,0,0,0,0,3,3,0,3,0,3,0,3,1,2,2,2,2,1,2,1,1,1,1,1,1
11,11,38,0.00024284242875924502,0,0,0,0,3,0,0,0,3,3,3,3,1,1,2,2,2,1,2,1,1,2,1,1,1
