unique_id,map,entrance,human,model,z_model,model_error,trial_type
8TwVZuH,PX_DX_0,1,0.2845528455284553,0.210134790115695,-0.7471768638352462,0.07441805541276028,PX
8TwVZuH,DX_PX_0,1,0.4186046511627907,0,-1.309471709736756,0.4186046511627907,DX
8TwVZuH,PX_UN_0,1,0.5142857142857143,0.805180178439408,0.845091388117079,-0.2908944641536937,PX
8TwVZuH,PX_PX_0,1,0.3411764705882353,0.288096875338615,-0.5385599152926166,0.053079595249620304,PX
8TwVZuH,DX_UN_0,1,0.830188679245283,1,1.3664052623340008,-0.16981132075471705,DX
8TwVZuH,DX_DX_0,1,0.4074074074074074,1,1.3664052623340008,-0.5925925925925926,DX
8TwVZuH,PX_NX_0,1,0.5723684210526315,0.833282632676297,0.9202900982682424,-0.26091421162366546,PX
8TwVZuH,DX_NX_0,1,0.7941176470588236,1,1.3664052623340008,-0.2058823529411764,DX
8TwVZuH,NX_DX_0,1,0.5413533834586466,0.462770499559162,-0.07115478661271407,0.07858288389948459,NX
8TwVZuH,NX_NX_0,1,0.3248407643312102,0,-1.309471709736756,0.3248407643312102,NX
8TwVZuH,NX_PX_0,1,0.055172413793103454,0.51174384161976,0.05989185165258451,-0.4565714278266566,NX
8TwVZuH,UN_UN_0,1,0.37007874015748027,0.533999999999988,0.11944659334899618,-0.16392125984250777,UN
8TwVZuH,UN_DX_0,1,0.288659793814433,0.459839274511056,-0.07899838421889792,-0.17117948069662298,UN
8TwVZuH,UN_PX_0,1,0.6285714285714286,0.483715827162936,-0.015107666805297282,0.14485560140849257,UN
8TwVZuH,NX_UN_0,1,0.5928571428571429,0.470326409495563,-0.05093610121085806,0.12253073336157988,NX
8TwVZuH,UN_NX_0,1,0.27433628318584075,0.470195469033922,-0.05128648177687545,-0.19585918584808126,UN
SCFEMOX,DX_UN_0,1,1,1,1.3664052623340008,0,DX
SCFEMOX,NX_PX_0,1,0.5033557046979866,0.51174384161976,0.05989185165258451,-0.008388136921773426,NX
SCFEMOX,UN_DX_0,1,0.5,0.459839274511056,-0.07899838421889792,0.040160725488944005,UN
SCFEMOX,NX_DX_0,1,0.5,0.462770499559162,-0.07115478661271407,0.037229500440838004,NX
SCFEMOX,PX_UN_0,1,0.6881720430107527,0.805180178439408,0.845091388117079,-0.11700813542865529,PX
SCFEMOX,DX_DX_0,1,1,1,1.3664052623340008,0,DX
SCFEMOX,PX_NX_0,1,0.5038167938931297,0.833282632676297,0.9202900982682424,-0.32946583878316726,PX
SCFEMOX,PX_DX_0,1,0.4966887417218543,0.210134790115695,-0.7471768638352462,0.28655395160615926,PX
SCFEMOX,DX_NX_0,1,1,1,1.3664052623340008,0,DX
SCFEMOX,UN_UN_0,1,0.5043478260869565,0.533999999999988,0.11944659334899618,-0.029652173913031543,UN
SCFEMOX,NX_UN_0,1,0.5,0.470326409495563,-0.05093610121085806,0.02967359050443702,NX
SCFEMOX,NX_NX_0,1,0,0,-1.309471709736756,0,NX
SCFEMOX,PX_PX_0,1,0.5072463768115942,0.288096875338615,-0.5385599152926166,0.21914950147297924,PX
SCFEMOX,DX_PX_0,1,0,0,-1.309471709736756,0,DX
SCFEMOX,UN_PX_0,1,0.5075757575757576,0.483715827162936,-0.015107666805297282,0.023859930412821584,UN
SCFEMOX,UN_NX_0,1,0.5086206896551724,0.470195469033922,-0.05128648177687545,0.03842522062125037,UN
DK3ho0E,PX_DX_0,1,0.14285714285714285,0.210134790115695,-0.7471768638352462,-0.06727764725855215,PX
DK3ho0E,DX_PX_0,1,1,0,-1.309471709736756,1,DX
DK3ho0E,DX_NX_0,1,1,1,1.3664052623340008,0,DX
DK3ho0E,NX_PX_0,1,0.5,0.51174384161976,0.05989185165258451,-0.011743841619760054,NX
DK3ho0E,UN_NX_0,1,0.5,0.470195469033922,-0.05128648177687545,0.02980453096607799,UN
DK3ho0E,UN_UN_0,1,0.5471698113207548,0.533999999999988,0.11944659334899618,0.013169811320766778,UN
DK3ho0E,UN_DX_0,1,0.44927536231884063,0.459839274511056,-0.07899838421889792,-0.010563912192215363,UN
DK3ho0E,NX_UN_0,1,0.5,0.470326409495563,-0.05093610121085806,0.02967359050443702,NX
DK3ho0E,UN_PX_0,1,0.5040650406504065,0.483715827162936,-0.015107666805297282,0.020349213487470486,UN
DK3ho0E,DX_DX_0,1,0.49640287769784175,1,1.3664052623340008,-0.5035971223021583,DX
DK3ho0E,PX_PX_0,1,0.35514018691588783,0.288096875338615,-0.5385599152926166,0.06704331157727283,PX
DK3ho0E,NX_DX_0,1,0.525,0.462770499559162,-0.07115478661271407,0.062229500440838026,NX
DK3ho0E,PX_UN_0,1,0.4935064935064935,0.805180178439408,0.845091388117079,-0.31167368493291453,PX
DK3ho0E,NX_NX_0,1,0.3269230769230769,0,-1.309471709736756,0.3269230769230769,NX
DK3ho0E,PX_NX_0,1,0.5,0.833282632676297,0.9202900982682424,-0.333282632676297,PX
DK3ho0E,DX_UN_0,1,1,1,1.3664052623340008,0,DX
gZArXOo,PX_PX_0,1,0.49,0.288096875338615,-0.5385599152926166,0.201903124661385,PX
gZArXOo,PX_UN_0,1,0.5038167938931297,0.805180178439408,0.845091388117079,-0.3013633845462783,PX
gZArXOo,NX_PX_0,1,0.573529411764706,0.51174384161976,0.05989185165258451,0.0617855701449459,NX
gZArXOo,UN_PX_0,1,0.5222222222222223,0.483715827162936,-0.015107666805297282,0.03850639505928627,UN
gZArXOo,PX_DX_0,1,0.40816326530612246,0.210134790115695,-0.7471768638352462,0.19802847519042746,PX
