MapHeight,MapWidth,Scene,Probability,Obs0,Obs1,Obs2,Obs3,Obs4,Obs5,Obs6,Obs7,Obs8,Obs9,Obs10,Obs11,Obs12,Obs13,Obs14,Obs15
11,11,51,0.00041912206551433334,105,93,83,73,62,51,41,30,40,50,61,73,83,94,105,116
11,11,51,0.00037872475799487947,105,95,85,73,62,51,41,30,41,51,61,72,83,95,105,116
11,11,51,0.00035852610423515254,105,95,85,74,63,51,41,30,40,52,62,73,83,94,105,116
11,11,51,0.0003938737483146747,105,95,84,74,62,51,41,30,40,50,61,71,83,94,105,116
11,11,51,0.0006261582665515341,105,94,84,74,63,51,41,30,40,50,62,72,83,95,105,116
11,11,51,0.0004090227386344699,105,95,84,74,63,51,41,30,41,51,61,72,84,94,105,116
11,11,51,0.00042417172895426505,105,94,84,74,62,51,41,30,40,50,61,71,83,95,105,116
11,11,51,0.000722101871910237,105,95,84,73,63,51,41,30,40,50,61,73,83,94,105,116
11,11,51,0.0003635757676750843,105,95,85,73,63,51,41,30,40,51,61,72,84,94,105,116
11,11,51,0.0043780582024208065,105,95,84,74,63,51,41,30,40,50,61,72,84,94,105,116
11,11,51,0.0003635757676750843,105,94,84,73,63,51,41,30,40,51,62,72,83,94,105,116
11,11,51,0.0003635757676750843,105,94,84,74,62,51,41,30,40,50,61,73,83,94,105,116
11,11,51,0.0003736750945549477,105,94,84,74,63,51,41,30,41,51,61,72,84,94,105,116
11,11,51,0.00037872475799487947,105,95,83,72,61,51,41,30,40,51,61,72,83,94,105,116
11,11,51,0.00391853882938702,105,95,85,73,63,51,41,30,40,50,61,73,83,94,105,116
11,11,51,0.0003736750945549477,105,94,82,71,61,51,41,30,40,52,62,74,84,94,105,116
11,11,51,0.0003938737483146747,105,95,83,73,63,51,41,30,40,50,61,72,82,94,105,116
11,11,51,0.0008230951407088716,105,95,84,74,63,51,41,30,41,51,61,71,83,94,105,116
11,11,51,0.001333111148141976,105,94,83,73,63,51,41,30,40,50,60,72,83,94,105,116
11,11,51,0.00030297980639590354,105,93,82,72,62,51,41,30,40,50,61,72,83,94,105,116
11,11,51,0.004898173536733775,105,95,85,74,62,51,41,30,40,51,61,72,83,94,105,116
11,11,51,0.0011967702352638193,105,95,84,74,62,51,41,30,40,51,61,72,83,94,105,116
11,11,51,0.0003635757676750843,105,95,84,74,62,51,40,30,41,51,61,72,83,94,105,116
11,11,51,0.00038882408487474294,105,95,85,74,63,51,41,30,41,52,63,73,83,94,105,116
11,11,51,0.0003484267773552892,105,95,85,74,62,51,41,30,40,51,61,72,83,95,105,116
11,11,51,0.00037872475799487947,105,95,83,73,62,51,41,30,40,50,61,72,83,94,105,116
11,11,51,0.00034337711391535747,105,93,83,73,61,51,41,30,40,50,62,72,83,94,105,116
11,11,51,0.0017623325405361726,105,95,85,74,62,51,41,30,40,50,61,72,82,94,105,116
11,11,51,0.00041912206551433334,105,95,84,74,63,51,41,30,41,51,61,72,83,93,105,116
11,11,51,0.0003383274504754257,105,94,83,71,61,51,41,30,40,51,61,72,82,94,105,116
11,11,51,0.0005958602859119438,105,94,84,74,63,51,41,30,40,50,62,72,84,94,105,116
11,11,51,0.000666555574070988,105,95,85,74,63,51,41,30,41,51,61,72,82,93,105,116
11,11,51,0.0003534764407952209,105,95,85,74,62,51,41,30,40,52,62,72,83,95,105,116
11,11,51,0.00032822812359556224,105,95,85,73,63,51,41,30,40,51,61,72,83,93,105,116
11,11,51,0.00041912206551433334,105,94,84,74,62,51,41,30,40,50,61,72,82,94,105,116
11,11,51,0.0016562896082976065,105,95,85,74,62,51,41,30,40,50,61,72,83,93,105,116
11,11,51,0.0021612559522907787,105,95,84,74,63,51,40,30,40,50,61,72,83,94,105,116
11,11,51,0.0027015699403634737,105,95,84,74,63,51,41,30,40,50,60,72,83,94,105,116
11,11,51,0.00038882408487474294,105,93,83,73,63,51,40,30,40,50,61,72,83,94,105,116
11,11,51,0.0003736750945549477,105,95,84,72,61,51,41,30,40,50,61,73,83,94,105,116
11,11,51,0.0003736750945549477,105,94,83,73,63,51,41,30,40,50,61,72,82,94,105,116
11,11,51,0.0035802113789115938,105,93,83,73,63,51,41,30,40,50,61,72,83,94,105,116
11,11,51,0.0007170522084703053,105,95,85,73,63,51,41,30,40,51,61,73,83,94,105,116
11,11,51,0.00035852610423515254,105,95,85,73,61,51,41,30,40,50,60,72,83,94,105,116
11,11,51,0.0003080294698358353,105,95,84,74,62,51,41,30,41,52,62,72,83,94,105,116
11,11,51,0.0003383274504754257,105,95,84,73,63,51,41,30,40,50,62,73,83,94,105,116
11,11,51,0.00041407240207440163,105,94,84,73,61,51,41,30,40,50,61,72,83,94,105,116
11,11,51,0.00042417172895426505,105,95,85,74,63,51,41,30,40,51,61,72,84,95,105,116
11,11,51,0.00027268182575631325,105,94,82,72,61,51,41,30,40,50,61,72,83,94,105,116
11,11,51,0.003251983255316032,105,95,84,74,63,51,41,30,40,50,61,72,82,94,105,116
11,11,51,0.00037872475799487947,105,95,84,74,63,51,41,30,40,50,60,72,84,94,105,116
11,11,51,0.004120525366984289,105,95,85,73,63,51,41,30,41,51,61,72,83,94,105,116
11,11,51,0.00029288047951604013,105,95,85,74,62,51,41,30,40,50,62,72,84,94,105,116
11,11,51,0.0003080294698358353,105,94,83,71,61,51,41,30,40,50,61,71,83,94,105,116
11,11,51,0.0030651457080385584,105,94,83,73,63,51,41,30,40,50,61,72,83,94,105,116
11,11,51,0.0003484267773552892,105,95,85,74,62,51,41,30,40,51,61,73,83,95,105,116
11,11,51,0.0003383274504754257,105,95,85,73,62,51,41,30,40,50,61,73,83,94,105,116
11,11,51,0.0003080294698358353,105,95,85,74,63,51,40,30,41,51,61,72,84,94,105,116
11,11,51,0.0003938737483146747,105,94,84,74,63,51,41,30,41,51,61,72,82,94,105,116
11,11,51,0.00034337711391535747,105,94,84,73,62,51,41,30,40,50,61,71,83,94,105,116
11,11,51,0.0003534764407952209,105,95,85,73,63,51,41,30,40,50,60,72,84,94,105,116
11,11,51,0.0011210252836648432,105,95,85,74,63,51,40,30,40,50,61,72,84,94,105,116
11,11,51,0.0015098493685395864,105,94,84,74,63,51,40,30,40,50,61,72,83,94,105,116
11,11,51,0.0010149823514262772,105,94,84,74,63,51,41,30,40,50,61,73,83,93,105,116
11,11,51,0.0004090227386344699,105,94,84,73,63,51,40,30,40,50,60,72,83,94,105,116
11,11,51,0.00032317846015563053,105,93,83,71,61,51,41,30,40,50,61,71,83,94,105,116
11,11,51,0.0003736750945549477,105,95,85,74,63,51,40,30,40,50,61,72,84,95,105,116
11,11,51,0.002827811526361767,105,94,84,74,63,51,41,30,40,50,61,72,82,94,105,116
11,11,51,0.001974418405013305,105,95,84,74,63,51,41,30,41,51,61,72,83,94,105,116
11,11,51,0.0003383274504754257,105,94,84,74,63,51,41,30,41,51,61,72,83,93,105,116
11,11,51,0.00027268182575631325,105,93,83,73,62,51,41,30,41,51,61,72,83,94,105,116
11,11,51,0.00042417172895426505,105,95,84,74,63,51,41,30,40,51,63,74,84,94,105,116
11,11,51,0.021602460196027923,105,95,85,74,63,51,41,30,40,50,61,72,82,94,105,116
11,11,51,0.0003938737483146747,105,95,84,74,63,51,41,30,40,50,61,72,82,93,105,116
11,11,51,0.0024743350855665463,105,95,85,74,63,51,41,30,40,50,61,71,83,95,105,116
11,11,51,0.00042417172895426505,105,95,85,74,63,51,41,30,40,50,60,71,83,95,105,116
11,11,51,0.0003635757676750843,105,95,84,72,61,51,41,30,40,50,61,72,83,94,105,116
11,11,51,0.00037872475799487947,105,94,84,74,63,51,41,30,40,50,61,73,83,95,105,116
11,11,51,0.02671271959723883,105,95,85,74,63,51,41,30,40,50,61,71,83,94,105,116
11,11,51,0.0003080294698358353,105,95,84,74,63,51,41,30,40,50,62,72,83,95,105,116
11,11,51,0.00037872475799487947,105,95,85,74,63,51,40,30,40,50,60,70,82,94,105,116
11,11,51,0.004574995076578145,105,95,85,74,63,51,41,30,40,51,61,73,83,94,105,116
11,11,51,0.0020956103275716668,105,95,83,73,63,51,41,30,40,50,61,72,83,94,105,116
11,11,51,0.004282114597062105,105,94,84,74,63,51,41,30,40,50,61,73,83,94,105,116
11,11,51,0.0003484267773552892,105,93,82,72,61,51,41,30,40,50,61,72,83,94,105,116
11,11,51,0.00038882408487474294,105,95,85,74,63,51,40,30,40,50,61,72,82,93,105,116
11,11,51,0.0003383274504754257,105,95,85,74,63,51,41,30,40,52,62,72,83,95,105,116
11,11,51,0.00032822812359556224,105,95,84,74,63,51,41,30,40,50,60,71,83,95,105,116
11,11,51,0.0003635757676750843,105,95,85,74,63,51,40,30,40,51,61,72,83,93,105,116
11,11,51,0.0040902273863446985,105,94,84,74,63,51,41,30,40,51,61,72,83,94,105,116
11,11,51,0.0038478435412279757,105,95,85,74,63,51,41,30,40,51,61,71,83,94,105,116
11,11,51,0.0006211086031116023,105,94,83,73,63,51,41,30,40,50,61,73,83,94,105,116
11,11,51,0.00038377442143481123,105,95,84,74,63,51,41,30,40,50,60,71,83,94,105,116
11,11,51,0.0006665555740709879,105,95,85,74,63,51,41,30,40,50,60,71,82,94,105,116
11,11,51,0.0004090227386344699,105,94,84,73,63,51,41,30,41,52,62,72,82,94,105,116
11,11,51,0.0003736750945549477,105,94,84,72,61,51,41,30,40,50,61,73,83,94,105,116
11,11,51,0.0003938737483146747,105,93,82,72,62,51,41,30,41,51,61,72,83,94,105,116
11,11,51,0.0007372508622300322,105,95,84,74,63,51,40,30,40,50,61,71,83,94,105,116
