map,goal,mean_human,mean_z_human,lower,upper,model,z_model
DX_DX_0,A,0.08941785681675044,-0.8567175080951374,0.05618095342899717,0.143365940383742,0.00327449223943342,-1.0457031710368732
DX_DX_0,B,0.07177657568592374,-1.0176463790212522,0.04948359291348098,0.09925282785898924,0.002742934607284,-1.047387269240955
DX_DX_0,C,0.8388055674973258,1.8743638871163901,0.7639823994152043,0.891840401341512,0.993982573153281,2.093090440277824
DX_NX_0,A,0.43354170313288515,0.3264419169166533,0.3795231426824393,0.4740893725487809,0.465790794329306,0.41965604233451237
DX_NX_0,B,0.09421097164672243,-0.8857165779077278,0.05899020120403844,0.14771549938073275,0.00245986013826071,-1.0482841149940219
DX_NX_0,C,0.4722473252203924,0.5592746609910747,0.4367976365874418,0.5200192861686815,0.531749345532434,0.6286280726595129
DX_PX_0,A,0.3266104841650346,-0.02034982146755307,0.27239414724497346,0.3722210747147151,0.165945182940652,-0.5303245902442784
DX_PX_0,B,0.5459922393198755,0.7904022823723269,0.4786326943403112,0.6180985844266708,0.830825872216942,1.576172066027986
DX_PX_0,C,0.12739727651508986,-0.7700524609047736,0.08184281643785854,0.1918907453193979,0.00322894484240305,-1.0458474757837157
DX_UN_0,A,0.3330845157665353,0.012048794952700793,0.31412873642396316,0.35561565049604604,0.373389941681361,0.1269086512928708
DX_UN_0,B,0.34770789326141377,0.07868132233032972,0.32608633533771353,0.37509139654135915,0.294780776249673,-0.12214346708711334
DX_UN_0,C,0.3192075909720509,-0.0907301172830303,0.28525495543969226,0.3537208180889893,0.331829282068966,-0.004765184205756061
ND_DX_0,A,0.834756023739695,1.8084417123815202,0.7587682052816406,0.8944927547786578,0.996162176253057,2.0999959298126103
ND_DX_0,B,0.0820629747070453,-0.9075994605738603,0.050876514604798244,0.12613078267839034,0.00123154982878681,-1.052175687725045
ND_DX_0,C,0.08318100155325961,-0.9008422518076595,0.049917623153626946,0.1303820286755118,0.00260627391815654,-1.0478202420875633
ND_DX_1,A,0.7220018104024337,1.4107505581408426,0.6280484630165581,0.8088781357730052,0.996403709255409,2.10076116253788
ND_DX_1,B,0.22797797018739305,-0.3048144411499117,0.15417224431058996,0.3204194469420904,0.00143923940274261,-1.0515176788519693
ND_DX_1,C,0.050020219410173206,-1.1059361169909308,0.029389448290011992,0.08174740123476516,0.00215705134184814,-1.0492434836859104
ND_NX_0,A,0.4738128472820693,0.535159721494891,0.4577040206986126,0.485513779794148,0.510513938328735,0.5613493638766452
ND_NX_0,B,0.05083175610138271,-1.0754292827020542,0.02909393402884083,0.08440058196944208,0.00349071992434132,-1.0450181114425756
ND_NX_0,C,0.475355396616548,0.5402695612071634,0.4567374260459349,0.489443191823229,0.485995341746923,0.4836687475659296
ND_NX_1,A,0.48393081662182663,0.5412808307153703,0.42872380959276546,0.549189819278367,0.567020244861353,0.7403744847578333
ND_NX_1,B,0.24490232881231672,-0.21605677113175495,0.17455912695895828,0.33460760544384077,0.00160360333954488,-1.0509969356737268
ND_NX_1,C,0.27116685456585665,-0.32522405958361505,0.21922518593457938,0.3205305924885359,0.431376151799103,0.31062245091589774
ND_PX_0,A,0.6612360844147255,1.2314315463560674,0.6048039697194272,0.7230485013946263,0.608810896028028,0.8727769869900192
ND_PX_0,B,0.11370939066111352,-0.7782857324363032,0.06978874646539888,0.1709202045535278,0.00160940447128968,-1.0509785563391785
ND_PX_0,C,0.225054524924161,-0.453145813919764,0.17402460921255647,0.2782300521025382,0.389579699500682,0.17820156934915932
ND_PX_1,A,0.40195598166182916,0.3490730695337833,0.33455384702314916,0.45127876053299837,0.23005662061176,-0.32720464517564263
ND_PX_1,B,0.5586431278620557,0.8002382034986439,0.501326115188988,0.6308471554939113,0.769037708322015,1.3804127926107668
ND_PX_1,C,0.03940089047611515,-1.149311273032427,0.021880142529938775,0.06736106529215292,9.05671066222783e-4,-1.0532081474351298
ND_UN_0,A,0.30637714253470405,-0.13364770017739688,0.27512477214445513,0.3269470439608167,0.298140097897922,-0.11150035482123893
ND_UN_0,B,0.2960375404634543,-0.1780481478709683,0.26330654738886733,0.31604937638984076,0.290411926931663,-0.13598499779868012
ND_UN_0,C,0.39758531700184163,0.3116958480483654,0.3631008650056141,0.4590492622263573,0.411447975170416,0.24748535261992347
NX_DX_0,A,0.08969929618123539,-0.8695864934269422,0.056573691825696305,0.13392556587805993,7.23228449521724e-6,-1.0560546104473651
NX_DX_0,B,0.10206411897690398,-0.8415146130226794,0.06670122282065089,0.14681574916114415,2.48560938107072e-5,-1.055998774120649
NX_DX_0,C,0.8082365848418606,1.7111011064496218,0.7260420088246886,0.8729586435205102,0.999967911621693,2.112053384568012
NX_NX_0,A,0.3871825942135846,0.18794384178979143,0.332699728829339,0.4562474586616157,0.479093877420067,0.4618033034909501
NX_NX_0,B,0.20056518970113554,-0.4593623533979882,0.1497068938219439,0.2493459259367833,1.6590060149611e-4,-1.0555519123172954
NX_NX_0,C,0.4122522160852799,0.27141851160819697,0.3558865667987745,0.47680754264479003,0.520740221978438,0.5937486088263497
NX_PX_0,A,0.41839852708697717,0.28562196959263025,0.3686151845804462,0.4695590374042869,0.272121968691989,-0.19393183923450125
NX_PX_0,B,0.08557077007539983,-0.9207654163173122,0.05372920581630661,0.12937081407262865,0.00260174599778773,-1.0478345875923591
NX_PX_0,C,0.496030702837623,0.6351434467246821,0.44432296631353396,0.5500894732697951,0.725276285310222,1.2417664268268578
NX_UN_0,A,0.3344722854052547,-0.017096268093158236,0.310617477708553,0.3605764131712301,0.308988589159739,-0.07712981144827584
NX_UN_0,B,0.4004617160880141,0.3815818335831949,0.36688200716722397,0.4438404286360462,0.468095628695246,0.4269582936457947
NX_UN_0,C,0.2650659985067311,-0.36448556549003647,0.22957262004734838,0.29106904172550474,0.222915782145013,-0.34982848219752394
PX_DX_0,A,0.09326027715628972,-0.8729611255209876,0.0564661268990233,0.1476461632204671,0.00474099795114431,-1.0410569398739775
PX_DX_0,B,0.06002000607772653,-1.023403705478513,0.0381922568713486,0.09611532352642747,8.23055008221914e-4,-1.05346989432106
PX_DX_0,C,0.8467197167659838,1.896364830999501,0.7688916863050747,0.9017918681299817,0.994435947040635,2.0945268341950425
PX_NX_0,A,0.4333492485749041,0.38609950196661436,0.40426139885668066,0.4561141296186826,0.487652950331626,0.4889204370756456
PX_NX_0,B,0.47015203960391466,0.5266102552981599,0.44483942487400013,0.5008594156858904,0.510838894196731,0.5623788996420991
PX_NX_0,C,0.09649871182118126,-0.912709757264774,0.06536237443149892,0.13559989179563206,0.00150815547164091,-1.05129933671775
PX_PX_0,A,0.3428001390345462,0.03618963813719364,0.28967780800933024,0.3927495741180471,0.170621459008187,-0.5155090600913562
PX_PX_0,B,0.1284636562420876,-0.6893429666733962,0.08341326272483908,0.18408713955601202,0.00196893060915571,-1.0498394939186988
PX_PX_0,C,0.5287362047233662,0.6531533285362029,0.46018142493875447,0.6010158415092817,0.827409610382657,1.5653485540100553
PX_UN_0,A,0.34350852145727173,-0.03790086517116479,0.31500358000322776,0.40225648459041063,0.260922186176621,-0.2294153549992305
PX_UN_0,B,0.35562757338950296,0.15738085162444646,0.3102390259854597,0.39095153136364597,0.355641726357463,0.07067817740847221
PX_UN_0,C,0.3008639051532253,-0.11947998645328144,0.2646971001728836,0.32709964454100643,0.383436087465914,0.1587371775907532
UN_DX_0,A,0.07868188138846763,-0.930130244033118,0.044388486774962606,0.13594795933859213,0.0012187987817839,-1.052216086007487
UN_DX_0,B,0.05336216962877687,-1.035284078874963,0.029430541647058404,0.09095085977258612,8.89300045547995e-4,-1.053260014636069
UN_DX_0,C,0.8679559489827555,1.9654143229080812,0.7844263372830511,0.924114269549902,0.997891901172671,2.1054761006435663
UN_NX_0,A,0.05274206058714307,-1.063764433776194,0.029537380996959257,0.09028607495602656,9.21581918668366e-4,-1.0531577381541632
UN_NX_0,B,0.43544590231456304,0.4001585406690456,0.3756021721670618,0.4808528382243929,0.529219184995067,0.6206119356325872
UN_NX_0,C,0.5118120370982938,0.6636058931071486,0.46389141548497753,0.5738882642871299,0.469859233086265,0.43254580252157854
UN_PX_0,A,0.5152964676446576,0.6997372564978098,0.4899389806563379,0.5582783622124515,0.677094876561881,1.0891165182645535
UN_PX_0,B,0.05814177228763478,-1.0434394859460863,0.03268372817135662,0.09839270217120431,0.00176295835760064,-1.0504920619150078
UN_PX_0,C,0.42656176006770763,0.34370222944827666,0.3759087934591655,0.45942123694038167,0.321142165080517,-0.03862445634954865
UN_UN_0,A,0.3278597029288684,-0.008459628572229903,0.2988170895329389,0.34111257870430206,0.31522187749845,-0.05738130430277906
UN_UN_0,B,0.3283461379595134,-0.02900425244945196,0.29802996521071146,0.3522475366998628,0.352439130524379,0.06053160897507982
UN_UN_0,C,0.3437941591116182,0.037463881021682105,0.315015913575882,0.40068197547155465,0.332338991977171,-0.0031503046722997073
