MapHeight,MapWidth,Scene,Probability,Obs0,Obs1,Obs2,Obs3,Obs4,Obs5,Obs6,Obs7,Obs8,Obs9,Obs10,Obs11,Obs12,Obs13,Obs14
11,11,51,0.00032822812359556224,5,4,5,5,4,5,2,6,6,3,6,7,3,3,3
11,11,51,0.0012624158599829315,5,5,2,2,4,5,2,6,6,3,3,7,3,6,3
11,11,51,0.00035852610423515254,5,5,4,4,5,5,2,6,6,6,7,3,3,3,3
11,11,51,0.0006211086031116023,2,2,5,5,4,5,2,6,6,3,7,6,3,3,3
11,11,51,0.00037872475799487947,5,5,2,2,4,2,5,3,6,6,3,3,6,7,3
11,11,51,0.00042417172895426505,2,5,5,2,4,5,2,6,7,6,6,3,3,3,3
11,11,51,0.00038377442143481123,2,5,5,2,4,2,5,6,6,3,3,7,6,3,3
11,11,51,0.00027268182575631325,4,5,5,2,2,5,2,3,6,6,3,3,3,3,3
11,11,51,0.00042417172895426505,2,2,5,5,4,5,2,6,6,3,6,7,6,7,3
11,11,51,0.0010806279761453894,5,2,2,5,4,5,2,6,6,3,3,6,7,3,3
11,11,51,0.0003635757676750843,5,5,2,2,4,2,5,6,3,6,3,3,6,7,3
11,11,51,0.017593027424722144,5,5,2,2,4,5,2,6,6,3,3,3,6,7,3
11,11,51,0.0004090227386344699,5,2,5,4,2,5,2,6,3,3,6,3,3,3,3
11,11,51,0.0006514065837511928,5,5,2,2,4,5,2,3,6,3,6,6,7,3,3
11,11,51,0.0030903940252382167,5,2,5,2,4,5,2,6,6,3,6,7,3,3,3
11,11,51,0.0003484267773552892,5,5,2,2,4,2,5,6,6,3,6,3,3,7,3
11,11,51,0.0021865042694904375,5,5,2,4,2,5,2,3,6,6,3,3,3,3,3
11,11,51,0.000681704564390783,5,5,4,5,4,5,2,6,6,6,7,3,7,6,3
11,11,51,0.00032822812359556224,2,5,5,4,2,5,2,6,3,6,7,3,6,3,3
11,11,51,0.00037872475799487947,5,5,4,5,4,2,5,6,3,6,7,6,3,3,3
11,11,51,0.00038882408487474294,2,5,5,4,2,5,2,6,6,6,7,3,6,7,3
11,11,51,0.0007877474966293494,5,5,2,2,4,5,2,6,3,6,6,3,7,3,3
11,11,51,0.0014543030707003372,5,5,2,2,4,2,5,6,6,3,3,3,7,6,3
11,11,51,0.00034337711391535747,2,4,5,2,5,5,2,6,3,6,3,3,3,3,3
11,11,51,0.025728035226452155,5,5,2,2,4,5,2,6,3,6,3,3,3,3,3
11,11,51,0.003090394025238217,5,5,2,2,4,5,2,3,6,6,7,6,3,3,3
11,11,51,0.0018027298480556263,2,5,5,2,4,5,2,6,6,6,7,3,3,3,3
11,11,51,0.00035852610423515254,5,5,4,4,5,5,2,6,6,3,3,6,3,7,3
11,11,51,0.003251983255316032,5,2,5,2,4,5,2,6,6,3,3,6,7,3,3
11,11,51,0.002348093499568253,5,5,2,2,4,5,2,6,6,7,6,3,7,6,3
11,11,51,0.004282114597062105,2,5,5,2,4,5,2,6,6,3,7,6,3,3,3
11,11,51,0.0003635757676750843,5,2,5,4,2,2,5,3,6,6,3,3,3,3,3
11,11,51,0.00438815752930067,5,5,2,2,4,5,2,3,3,6,6,3,3,3,3
11,11,51,0.0029793014295597187,2,5,5,2,4,5,2,6,6,7,6,3,3,3,3
11,11,51,0.00029288047951604013,4,5,5,5,4,5,2,6,3,6,3,3,3,3,3
11,11,51,0.0017219352330167185,5,5,2,2,4,5,2,6,6,7,6,3,6,7,3
11,11,51,0.0003736750945549477,4,2,5,5,2,5,2,6,6,6,7,3,3,3,3
11,11,51,0.0003080294698358353,5,2,5,2,4,5,2,6,3,6,7,6,7,6,3
11,11,51,0.0006312079299914658,2,2,5,5,4,5,2,6,3,6,3,3,3,3,3
11,11,51,0.0004090227386344699,5,2,5,2,4,5,2,3,6,6,3,7,6,3,3
11,11,51,0.0003484267773552892,5,2,2,2,2,5,2,6,6,3,3,7,6,3,3
11,11,51,0.0003080294698358353,4,5,5,5,4,5,2,6,6,3,6,7,3,3,3
11,11,51,0.004120525366984289,5,5,4,5,4,5,2,3,6,6,3,3,3,3,3
11,11,51,0.0004090227386344699,5,5,2,4,2,2,5,6,6,7,6,3,3,3,3
11,11,51,0.0003383274504754257,2,5,2,2,2,5,2,6,6,3,3,7,6,3,3
11,11,51,0.00032822812359556224,2,5,5,2,4,5,2,3,3,6,6,7,6,3,3
11,11,51,0.0014341044169406106,5,5,2,2,4,5,2,6,6,6,7,6,7,3,3
11,11,51,0.000368625431115016,5,5,2,4,2,5,2,3,6,6,6,7,3,3,3
11,11,51,0.0020956103275716668,5,4,5,5,4,5,2,6,6,3,3,3,3,3,3
11,11,51,0.00037872475799487947,2,5,5,2,4,5,2,6,6,3,7,6,7,6,3
11,11,51,0.019123075447021447,5,5,2,2,4,2,5,6,6,3,3,3,3,3,3
11,11,51,0.017603126751601993,5,5,2,2,4,5,2,6,6,3,3,3,7,6,3
