unique_id,map,goal,human,model,z_model,model_error,trial_type
8TwVZuH,PX_DX_0,A,0.3310810810810811,0.00474099795114431,-1.0410569398739775,0.3263400831299368,DX
8TwVZuH,DX_PX_0,A,0.21495327102803738,0.165945182940652,-0.5303245902442784,0.04900808808738538,PX
8TwVZuH,PX_UN_0,A,0.26548672566371684,0.260922186176621,-0.2294153549992305,0.004564539487095842,UN
8TwVZuH,PX_PX_0,A,0.4370860927152318,0.170621459008187,-0.5155090600913562,0.26646463370704476,PX
8TwVZuH,DX_UN_0,A,0.22413793103448276,0.373389941681361,0.1269086512928708,-0.14925201064687826,UN
8TwVZuH,DX_DX_0,A,0.14018691588785048,0.00327449223943342,-1.0457031710368732,0.13691242364841708,DX
8TwVZuH,PX_NX_0,A,0.35460992907801414,0.487652950331626,0.4889204370756456,-0.13304302125361184,NX
8TwVZuH,DX_NX_0,A,0.5352112676056339,0.465790794329306,0.41965604233451237,0.06942047327632789,NX
8TwVZuH,ND_DX_1,A,0.36986301369863017,0.996403709255409,2.10076116253788,-0.6265406955567788,DX
8TwVZuH,NX_DX_0,A,0.14285714285714285,7.23228449521724e-6,-1.0560546104473651,0.14284991057264762,DX
8TwVZuH,NX_NX_0,A,0.5075757575757576,0.479093877420067,0.4618033034909501,0.028481880155690587,NX
8TwVZuH,ND_UN_0,A,0.08737864077669902,0.298140097897922,-0.11150035482123893,-0.210761457121223,UN
8TwVZuH,NX_PX_0,A,0.24509803921568626,0.272121968691989,-0.19393183923450125,-0.02702392947630275,PX
8TwVZuH,ND_NX_1,A,0.13793103448275862,0.567020244861353,0.7403744847578333,-0.42908921037859443,NX
8TwVZuH,UN_UN_0,A,0.2421875,0.31522187749845,-0.05738130430277906,-0.07303437749844999,UN
8TwVZuH,UN_DX_0,A,0.11428571428571428,0.0012187987817839,-1.052216086007487,0.11306691550393039,DX
8TwVZuH,ND_PX_1,A,0.5942028985507246,0.23005662061176,-0.32720464517564263,0.3641462779389646,PX
8TwVZuH,UN_PX_0,A,0.4122137404580153,0.677094876561881,1.0891165182645535,-0.26488113610386577,PX
8TwVZuH,ND_NX_0,A,0.4896551724137931,0.510513938328735,0.5613493638766452,-0.020858765914941957,NX
8TwVZuH,ND_DX_0,A,0.5,0.996162176253057,2.0999959298126103,-0.49616217625305703,DX
8TwVZuH,NX_UN_0,A,0.2916666666666667,0.308988589159739,-0.07712981144827584,-0.017321922493072295,UN
8TwVZuH,UN_NX_0,A,0.032,9.21581918668366e-4,-1.0531577381541632,0.031078418081331636,NX
8TwVZuH,ND_PX_0,A,0.5694444444444444,0.608810896028028,0.8727769869900192,-0.03936645158358354,PX
SCFEMOX,ND_PX_0,A,1,0.608810896028028,0.8727769869900192,0.39118910397197204,PX
SCFEMOX,DX_UN_0,A,0.3333333333333333,0.373389941681361,0.1269086512928708,-0.04005660834802771,UN
SCFEMOX,ND_NX_0,A,0.5145631067961165,0.510513938328735,0.5613493638766452,0.004049168467381459,NX
SCFEMOX,NX_PX_0,A,0.4925373134328358,0.272121968691989,-0.19393183923450125,0.22041534474084679,PX
SCFEMOX,UN_DX_0,A,0,0.0012187987817839,-1.052216086007487,-0.0012187987817839,DX
SCFEMOX,NX_DX_0,A,0,7.23228449521724e-6,-1.0560546104473651,-7.23228449521724e-6,DX
SCFEMOX,ND_DX_1,A,1,0.996403709255409,2.10076116253788,0.003596290744591002,DX
SCFEMOX,ND_UN_0,A,0.33333333333333337,0.298140097897922,-0.11150035482123893,0.03519323543541136,UN
SCFEMOX,PX_UN_0,A,0.35911602209944754,0.260922186176621,-0.2294153549992305,0.09819383592282654,UN
SCFEMOX,ND_DX_0,A,1,0.996162176253057,2.0999959298126103,0.00383782374694297,DX
SCFEMOX,ND_PX_1,A,0.5039370078740157,0.23005662061176,-0.32720464517564263,0.2738803872622557,PX
SCFEMOX,DX_DX_0,A,0,0.00327449223943342,-1.0457031710368732,-0.00327449223943342,DX
SCFEMOX,PX_NX_0,A,0.5038759689922481,0.487652950331626,0.4889204370756456,0.01622301866062209,NX
SCFEMOX,PX_DX_0,A,0,0.00474099795114431,-1.0410569398739775,-0.00474099795114431,DX
SCFEMOX,DX_NX_0,A,0.5032679738562091,0.465790794329306,0.41965604233451237,0.03747717952690316,NX
SCFEMOX,ND_NX_1,A,0.6141732283464567,0.567020244861353,0.7403744847578333,0.04715298348510366,NX
SCFEMOX,UN_UN_0,A,0.3377777777777778,0.31522187749845,-0.05738130430277906,0.0225559002793278,UN
SCFEMOX,NX_UN_0,A,0.3333333333333333,0.308988589159739,-0.07712981144827584,0.024344744173594335,UN
SCFEMOX,NX_NX_0,A,0.33333333333333337,0.479093877420067,0.4618033034909501,-0.1457605440867336,NX
SCFEMOX,PX_PX_0,A,0.5,0.170621459008187,-0.5155090600913562,0.32937854099181296,PX
SCFEMOX,DX_PX_0,A,0.3823529411764706,0.165945182940652,-0.5303245902442784,0.21640775823581862,PX
SCFEMOX,UN_PX_0,A,0.5070422535211268,0.677094876561881,1.0891165182645535,-0.1700526230407543,PX
SCFEMOX,UN_NX_0,A,0,9.21581918668366e-4,-1.0531577381541632,-9.21581918668366e-4,NX
DK3ho0E,PX_DX_0,A,0,0.00474099795114431,-1.0410569398739775,-0.00474099795114431,DX
DK3ho0E,ND_DX_0,A,1,0.996162176253057,2.0999959298126103,0.00383782374694297,DX
DK3ho0E,ND_NX_1,A,0.6311475409836066,0.567020244861353,0.7403744847578333,0.06412729612225354,NX
