map,entrance,mean_human,mean_z_human,lower,upper,model,z_model
DX_DX_0,1,0.646297676596893,0.8836441097285908,0.5450314736299877,0.7352776579279384,1,1.3664052623340008
DX_DX_0,2,0.353702323403107,-0.042598414114618656,0.2617090649121543,0.45129889877667817,0,-1.309471709736756
DX_NX_0,1,0.7835153369299919,1.4515110956208674,0.7063909605687596,0.846711722439257,1,1.3664052623340008
DX_NX_0,2,0.21648466307000808,-0.6104654000068954,0.15412193616966677,0.29648329692673603,0,-1.309471709736756
DX_PX_0,1,0.27152344072350915,-0.33819491499678395,0.1910494673915695,0.3658100437489354,0,-1.309471709736756
DX_PX_0,2,0.7284765592764909,1.179240610610756,0.6391963845349239,0.8100933160160871,0.999999999999999,1.3664052623339984
DX_UN_0,1,0.9133988687737237,2.0150131863117733,0.8692500328080242,0.9466313082570138,1,1.3664052623340008
DX_UN_0,2,0.08660113122627627,-1.173967490697801,0.05311366971293996,0.13181183060406018,0,-1.309471709736756
NX_DX_0,1,0.4788843713588369,0.25683685326241396,0.45105448022589867,0.5106242353175408,0.462770499559162,-0.07115478661271407
NX_DX_0,2,0.4078983450873603,-0.014684724779532811,0.36571750362991995,0.43831934805393485,0.537229500440838,0.1280883392099588
NX_DX_0,3,0.11321728355380281,-1.0831978240968536,0.07281433796050422,0.16465897378858627,0,-1.309471709736756
NX_NX_0,1,0.178838090111507,-0.8343062816173491,0.13163620539813906,0.22353431263511428,0,-1.309471709736756
NX_NX_0,2,0.4077518527179652,-0.020918119655538924,0.3671050704278023,0.45926366439492594,0.518540104326212,0.07807781452492256
NX_NX_0,3,0.41341005717052776,0.014178705658915615,0.37428104306905263,0.46569099410659626,0.481459895673795,-0.02114426192765896
NX_PX_0,1,0.4092255555899493,-0.03385065211726037,0.3598314493833512,0.44863651328340787,0.51174384161976,0.05989185165258451
NX_PX_0,2,0.40571718127090983,-0.041802362204172785,0.36316833758171,0.43707713321206876,0.488256158380239,-0.0029582990553421503
NX_PX_0,3,0.18505726313914092,-0.7653926812925392,0.12714818882183118,0.25251216936419707,0,-1.309471709736756
NX_UN_0,1,0.5009271160743087,0.4177754299215763,0.48151539240622976,0.518249055231461,0.470326409495563,-0.05093610121085806
NX_UN_0,2,0.448331314198698,0.14699908682234125,0.4199372643274248,0.4747847881060745,0.529673590504452,0.1078696538081429
NX_UN_0,3,0.050741569726993216,-1.40582021235789,0.031042507694330982,0.08313838333116294,0,-1.309471709736756
PX_DX_0,1,0.28508109371888507,-0.4922993195029477,0.22707251201558995,0.33875366007123897,0.210134790115695,-0.7471768638352462
PX_DX_0,2,0.08028923547158076,-1.267858656157743,0.05107639548858591,0.12062133979068068,0,-1.309471709736756
PX_DX_0,3,0.6346296708095341,0.9191122800467182,0.5790161019944142,0.7027003483365251,0.789865209884305,0.8041104164324909
PX_NX_0,1,0.5198541057874096,0.46593725048881524,0.4931938941772961,0.5562109851279073,0.833282632676297,0.9202900982682424
PX_NX_0,2,0.43285145826031557,0.08651004396810345,0.39680807863395295,0.4613690880952024,0.166717367323703,-0.8633565456709976
PX_NX_0,3,0.047294435952274734,-1.393492990070891,0.028509513910686728,0.07759190617329127,0,-1.309471709736756
PX_PX_0,1,0.37629181149901114,-0.13884894077035945,0.33027053896466924,0.4122063928053973,0.288096875338615,-0.5385599152926166
PX_PX_0,2,0.4014909448851527,-0.0894836276470246,0.348247005189236,0.46310598952940385,0.711903124661383,0.595493467889856
PX_PX_0,3,0.22221724361583614,-0.6127131271965883,0.15882913868786455,0.2937624237260703,0,-1.309471709736756
PX_UN_0,1,0.5938129804201404,0.7111024132506367,0.5451835045698515,0.6577313749473936,0.805180178439408,0.845091388117079
PX_UN_0,2,0.34955403889020065,-0.20375144600078368,0.29084519313166546,0.3944569253278249,0.194819821560601,-0.7881578355198099
PX_UN_0,3,0.05663298068965891,-1.3483966628638255,0.03221801846290183,0.09646206826419391,0,-1.309471709736756
UN_DX_0,1,0.5182495331056038,0.47642565907013734,0.48905455085409943,0.56466194924826,0.459839274511056,-0.07899838421889792
UN_DX_0,2,0.4817504668943961,0.36462003654383474,0.4353096627753728,0.5108558157058101,0.540160725488944,0.1359319368161428
UN_NX_0,1,0.5404617624715534,0.5901834479054059,0.4942056774596168,0.6059751825780574,0.470195469033922,-0.05128648177687545
UN_NX_0,2,0.45953823752844664,0.2508622477085663,0.3957226910299267,0.5059882567131452,0.529804530966079,0.10822003437412316
UN_PX_0,1,0.5020318281884687,0.43205159994156495,0.48746935744147807,0.5185696805375888,0.483715827162936,-0.015107666805297282
UN_PX_0,2,0.4979681718115313,0.4089940956724072,0.4810217788505338,0.512346382951238,0.516284172837064,0.07204121940254202
UN_UN_0,1,0.507120814038452,0.4334123798729208,0.4934999443133552,0.5263666399218432,0.533999999999988,0.11944659334899618
UN_UN_0,2,0.492879185961548,0.4076333157410513,0.4734913785724172,0.5066992539539675,0.466000000000012,-0.06251304075175114
