map,goal,mean_human,mean_z_human,lower,upper,model,z_model
DX_DX_0,A,0.08941785681675044,-0.8567175080951374,0.05676107671038485,0.14386728523420655,0.00327449223943342,-1.0457031710368732
DX_DX_0,B,0.07177657568592374,-1.0176463790212522,0.04911240750314718,0.0994722038438042,0.002742934607284,-1.047387269240955
DX_DX_0,C,0.8388055674973258,1.8743638871163901,0.7649408113475681,0.8909889846617253,0.993982573153281,2.093090440277824
DX_NX_0,A,0.43354170313288515,0.3264419169166533,0.3817572442695314,0.4747941671171396,0.465790794329306,0.41965604233451237
DX_NX_0,B,0.09421097164672243,-0.8857165779077278,0.05934444145309408,0.14862339598446386,0.00245986013826071,-1.0482841149940219
DX_NX_0,C,0.4722473252203924,0.5592746609910747,0.4378327897008398,0.5198807042510086,0.531749345532434,0.6286280726595129
DX_PX_0,A,0.3266104841650346,-0.02034982146755307,0.27355657229824276,0.3718835350417843,0.165945182940652,-0.5303245902442784
DX_PX_0,B,0.5459922393198755,0.7904022823723269,0.47683997658718685,0.6196756105750099,0.830825872216942,1.576172066027986
DX_PX_0,C,0.12739727651508986,-0.7700524609047736,0.08360137180445762,0.1950338962721355,0.00322894484240305,-1.0458474757837157
DX_UN_0,A,0.3330845157665353,0.012048794952700793,0.313811401450943,0.35493881173871333,0.373389941681361,0.1269086512928708
DX_UN_0,B,0.34770789326141377,0.07868132233032972,0.32641338682140897,0.37481292562481855,0.294780776249673,-0.12214346708711334
DX_UN_0,C,0.3192075909720509,-0.0907301172830303,0.28577200436017,0.35432144897425544,0.331829282068966,-0.004765184205756061
ND_DX_0,A,0.834756023739695,1.8084417123815202,0.7575316939785219,0.8933902255406065,0.996162176253057,2.0999959298126103
ND_DX_0,B,0.0820629747070453,-0.9075994605738603,0.05125238858369961,0.12452513938384421,0.00123154982878681,-1.052175687725045
ND_DX_0,C,0.08318100155325961,-0.9008422518076595,0.051310305220147685,0.13123260145153404,0.00260627391815654,-1.0478202420875633
ND_DX_1,A,0.7220018104024337,1.4107505581408426,0.6263400588748178,0.8084786569283111,0.996403709255409,2.10076116253788
ND_DX_1,B,0.22797797018739305,-0.3048144411499117,0.15226308757482712,0.3188065401326507,0.00143923940274261,-1.0515176788519693
ND_DX_1,C,0.050020219410173206,-1.1059361169909308,0.030190677889763814,0.08139470814021399,0.00215705134184814,-1.0492434836859104
ND_NX_0,A,0.4738128472820693,0.535159721494891,0.4576877821102946,0.48580092707830225,0.510513938328735,0.5613493638766452
ND_NX_0,B,0.05083175610138271,-1.0754292827020542,0.028546823258007517,0.08325813404571411,0.00349071992434132,-1.0450181114425756
ND_NX_0,C,0.475355396616548,0.5402695612071634,0.45707724000119676,0.48918297923843546,0.485995341746923,0.4836687475659296
ND_NX_1,A,0.48393081662182663,0.5412808307153703,0.4272895470220201,0.5466792463167172,0.567020244861353,0.7403744847578333
ND_NX_1,B,0.24490232881231672,-0.21605677113175495,0.1735009904915611,0.3330719595976797,0.00160360333954488,-1.0509969356737268
ND_NX_1,C,0.27116685456585665,-0.32522405958361505,0.21846177031924982,0.32089069027386796,0.431376151799103,0.31062245091589774
ND_PX_0,A,0.6612360844147255,1.2314315463560674,0.6061964798180494,0.7232647000604061,0.608810896028028,0.8727769869900192
ND_PX_0,B,0.11370939066111352,-0.7782857324363032,0.07028178855258145,0.17163177050171657,0.00160940447128968,-1.0509785563391785
ND_PX_0,C,0.225054524924161,-0.453145813919764,0.17419104552301126,0.2805041722607455,0.389579699500682,0.17820156934915932
ND_PX_1,A,0.40195598166182916,0.3490730695337833,0.3347160242741005,0.45083274196981676,0.23005662061176,-0.32720464517564263
ND_PX_1,B,0.5586431278620557,0.8002382034986439,0.5028235189936785,0.6291633440969686,0.769037708322015,1.3804127926107668
ND_PX_1,C,0.03940089047611515,-1.149311273032427,0.021756004897977847,0.06770950588624511,9.05671066222783e-4,-1.0532081474351298
ND_UN_0,A,0.30637714253470405,-0.13364770017739688,0.2742789256023068,0.3268129931528711,0.298140097897922,-0.11150035482123893
ND_UN_0,B,0.2960375404634543,-0.1780481478709683,0.2618772080950414,0.31593045190252605,0.290411926931663,-0.13598499779868012
ND_UN_0,C,0.39758531700184163,0.3116958480483654,0.3631659479154078,0.45885403448136164,0.411447975170416,0.24748535261992347
NX_DX_0,A,0.08969929618123539,-0.8695864934269422,0.055071231279237055,0.13485874115632912,7.23228449521724e-6,-1.0560546104473651
NX_DX_0,B,0.10206411897690398,-0.8415146130226794,0.06592384459172636,0.14649431154172096,2.48560938107072e-5,-1.055998774120649
NX_DX_0,C,0.8082365848418606,1.7111011064496218,0.7261618234257493,0.874216166463998,0.999967911621693,2.112053384568012
NX_NX_0,A,0.3871825942135846,0.18794384178979143,0.33153987766134596,0.45460557014650027,0.479093877420067,0.4618033034909501
NX_NX_0,B,0.20056518970113554,-0.4593623533979882,0.15021342245382033,0.24940094884656863,1.6590060149611e-4,-1.0555519123172954
NX_NX_0,C,0.4122522160852799,0.27141851160819697,0.35358156891149084,0.4780287483326672,0.520740221978438,0.5937486088263497
NX_PX_0,A,0.41839852708697717,0.28562196959263025,0.3686439699580074,0.46944214400625894,0.272121968691989,-0.19393183923450125
NX_PX_0,B,0.08557077007539983,-0.9207654163173122,0.05391340142314318,0.12897654723615354,0.00260174599778773,-1.0478345875923591
NX_PX_0,C,0.496030702837623,0.6351434467246821,0.44482859108011624,0.5491935446389965,0.725276285310222,1.2417664268268578
NX_UN_0,A,0.3344722854052547,-0.017096268093158236,0.31101823095281567,0.36050032890205375,0.308988589159739,-0.07712981144827584
NX_UN_0,B,0.4004617160880141,0.3815818335831949,0.3674443701078668,0.4457887495981586,0.468095628695246,0.4269582936457947
NX_UN_0,C,0.2650659985067311,-0.36448556549003647,0.22978675913204366,0.29194620669574095,0.222915782145013,-0.34982848219752394
PX_DX_0,A,0.09326027715628972,-0.8729611255209876,0.05583124365241688,0.14887669062911832,0.00474099795114431,-1.0410569398739775
PX_DX_0,B,0.06002000607772653,-1.023403705478513,0.03748976626535189,0.09532398785654408,8.23055008221914e-4,-1.05346989432106
PX_DX_0,C,0.8467197167659838,1.896364830999501,0.7707751242105901,0.9012216271774337,0.994435947040635,2.0945268341950425
PX_NX_0,A,0.4333492485749041,0.38609950196661436,0.4040020977412809,0.4560825158034251,0.487652950331626,0.4889204370756456
PX_NX_0,B,0.47015203960391466,0.5266102552981599,0.44512653527530255,0.5013608455305207,0.510838894196731,0.5623788996420991
PX_NX_0,C,0.09649871182118126,-0.912709757264774,0.06573542241227935,0.135028608207114,0.00150815547164091,-1.05129933671775
PX_PX_0,A,0.3428001390345462,0.03618963813719364,0.2901379266702722,0.39259891997685137,0.170621459008187,-0.5155090600913562
PX_PX_0,B,0.1284636562420876,-0.6893429666733962,0.08456157005198445,0.1837803039157174,0.00196893060915571,-1.0498394939186988
PX_PX_0,C,0.5287362047233662,0.6531533285362029,0.45859427260118696,0.6006922531977644,0.827409610382657,1.5653485540100553
PX_UN_0,A,0.34350852145727173,-0.03790086517116479,0.31441211788853374,0.40518176229305086,0.260922186176621,-0.2294153549992305
PX_UN_0,B,0.35562757338950296,0.15738085162444646,0.31076580200005965,0.39163608245238646,0.355641726357463,0.07067817740847221
PX_UN_0,C,0.3008639051532253,-0.11947998645328144,0.2660608844914202,0.3268626502736941,0.383436087465914,0.1587371775907532
UN_DX_0,A,0.07868188138846763,-0.930130244033118,0.044909685122262635,0.13667104944018402,0.0012187987817839,-1.052216086007487
UN_DX_0,B,0.05336216962877687,-1.035284078874963,0.029112518449212893,0.09174573487250282,8.89300045547995e-4,-1.053260014636069
UN_DX_0,C,0.8679559489827555,1.9654143229080812,0.7816405628726892,0.9233744696252847,0.997891901172671,2.1054761006435663
UN_NX_0,A,0.05274206058714307,-1.063764433776194,0.029748408130371384,0.09144875351079507,9.21581918668366e-4,-1.0531577381541632
UN_NX_0,B,0.43544590231456304,0.4001585406690456,0.3781976590835341,0.47999490242577614,0.529219184995067,0.6206119356325872
UN_NX_0,C,0.5118120370982938,0.6636058931071486,0.4633396247013793,0.572942908719311,0.469859233086265,0.43254580252157854
UN_PX_0,A,0.5152964676446576,0.6997372564978098,0.4898282610298076,0.5574740315137698,0.677094876561881,1.0891165182645535
UN_PX_0,B,0.05814177228763478,-1.0434394859460863,0.032626731572181,0.09873352321928822,0.00176295835760064,-1.0504920619150078
UN_PX_0,C,0.42656176006770763,0.34370222944827666,0.3759242935475169,0.4602784171966163,0.321142165080517,-0.03862445634954865
UN_UN_0,A,0.3278597029288684,-0.008459628572229903,0.2983546936417479,0.34131567682493663,0.31522187749845,-0.05738130430277906
UN_UN_0,B,0.3283461379595134,-0.02900425244945196,0.2979176337783768,0.35290521150592036,0.352439130524379,0.06053160897507982
UN_UN_0,C,0.3437941591116182,0.037463881021682105,0.31480555341362854,0.4002237004264212,0.332338991977171,-0.0031503046722997073
