trial_num,map,num_agents,wrong_objective,unique_id,wrong_attempts
6,UN_1,0.32,0,H2curVr,1
7,P1_0,0.31,0,H2curVr,1
8,D1_2,0.59,0,H2curVr,1
9,P1_2,0.24,0,H2curVr,1
10,P2_0,0.32,0,H2curVr,1
11,D1_0,0.35,0,H2curVr,1
12,UN_2,0.39,0,H2curVr,1
13,D2_1,0.86,0,H2curVr,1
14,D2_2,1,0,H2curVr,1
15,P2_1,0.51,0,H2curVr,1
1,P2_1,0,3,SxG95Nb,1
2,D1_1,0,0,SxG95Nb,1
3,D2_1,1,0,SxG95Nb,1
4,UN_2,0,0,SxG95Nb,1
5,D2_2,0,0,SxG95Nb,1
6,P1_2,0,0,SxG95Nb,1
7,P2_0,0,0,SxG95Nb,1
8,P1_0,0,0,SxG95Nb,1
9,D1_2,0,0,SxG95Nb,1
10,UN_1,0,0,SxG95Nb,1
11,D2_0,1,0,SxG95Nb,1
12,UN_0,0,0,SxG95Nb,1
13,D1_0,0,0,SxG95Nb,1
14,P1_1,0,0,SxG95Nb,1
15,P2_2,1,0,SxG95Nb,1
1,P2_2,0.97,0,GMnZaRl,0
2,UN_0,0.09,0,GMnZaRl,0
3,D1_1,0.42,0,GMnZaRl,0
4,D2_2,0.65,0,GMnZaRl,0
5,P2_1,0.16,0,GMnZaRl,0
6,P1_0,0.45,0,GMnZaRl,0
7,D2_1,0.99,0,GMnZaRl,0
8,P1_2,0.71,0,GMnZaRl,0
9,D1_0,0.35,0,GMnZaRl,0
10,P2_0,0.48,0,GMnZaRl,0
11,D1_2,0.59,0,GMnZaRl,0
12,P1_1,0.97,0,GMnZaRl,0
13,UN_2,0.61,0,GMnZaRl,0
14,UN_1,0.33,0,GMnZaRl,0
15,D2_0,0.88,0,GMnZaRl,0
1,P1_2,0.84,0,q7MJBG9,0
2,P1_1,1,0,q7MJBG9,0
3,D2_0,0.63,0,q7MJBG9,0
4,D1_0,0.44,0,q7MJBG9,0
5,P2_1,0.96,0,q7MJBG9,0
6,D2_2,0.85,0,q7MJBG9,0
7,UN_1,0.11,0,q7MJBG9,0
8,UN_2,0.21,0,q7MJBG9,0
9,UN_0,0.5,0,q7MJBG9,0
10,P1_0,0.32,0,q7MJBG9,0
11,D2_1,0.48,0,q7MJBG9,0
12,D1_1,0.26,0,q7MJBG9,0
13,D1_2,0.24,1,q7MJBG9,0
14,P2_0,0.06,0,q7MJBG9,0
15,P2_2,0.12,0,q7MJBG9,0
1,P2_0,0.19,0,bLLBV4y,0
2,D2_1,0.86,0,bLLBV4y,0
3,D2_2,0.83,0,bLLBV4y,0
4,P2_1,0.18,0,bLLBV4y,0
5,UN_0,0.42,0,bLLBV4y,0
6,P1_0,0.42,0,bLLBV4y,0
7,D2_0,0.75,0,bLLBV4y,0
8,D1_2,0.19,0,bLLBV4y,0
9,UN_1,0.17,0,bLLBV4y,0
10,P2_2,0.71,0,bLLBV4y,0
11,P1_1,0.57,0,bLLBV4y,0
12,D1_1,0.18,0,bLLBV4y,0
13,P1_2,0.55,0,bLLBV4y,0
14,UN_2,0.69,0,bLLBV4y,0
15,D1_0,0.46,0,bLLBV4y,0
1,D1_1,0.52,0,lzz7Pjm,1
2,D2_0,0.51,0,lzz7Pjm,1
3,P1_0,0.48,0,lzz7Pjm,1
4,P1_2,0.53,0,lzz7Pjm,1
5,UN_2,0.5,0,lzz7Pjm,1
6,UN_1,0.49,0,lzz7Pjm,1
7,D2_2,0.78,0,lzz7Pjm,1
8,P2_2,0.58,0,lzz7Pjm,1
9,D1_0,0.54,0,lzz7Pjm,1
10,D2_1,0.48,0,lzz7Pjm,1
11,P2_1,0.73,2,lzz7Pjm,1
12,UN_0,0.48,0,lzz7Pjm,1
13,P2_0,0.51,0,lzz7Pjm,1
