1,2,3,trial_num,map,A,B,C,unique_id
0.66,0.66,0.28,1,NX_PX_0,0.62,0.62,0.6,24xIq0x
0.92,0.07,-1,2,DX_DX_0,0.02,0.03,1,24xIq0x
-1,-1,-1,3,ND_PX_0,0.97,0,0.16,24xIq0x
0.55,0.55,0,4,PX_PX_0,0.61,0.12,1,24xIq0x
0.86,0.66,0.02,5,PX_NX_0,0.7,0.71,0.04,24xIq0x
1,0.03,-1,6,DX_NX_0,0.49,0,0.49,24xIq0x
0.75,0.74,-1,7,UN_UN_0,0.52,0.52,0.53,24xIq0x
0.18,0.82,-1,8,DX_PX_0,0.66,0.66,0.19,24xIq0x
-1,-1,-1,9,ND_DX_1,0.96,0,0,24xIq0x
0,1,-1,10,DX_UN_0,0.5,0.5,0.5,24xIq0x
-1,-1,-1,11,ND_NX_1,0.81,0,0.81,24xIq0x
0.49,0.48,-1,12,UN_PX_0,0.88,0,0.76,24xIq0x
-1,-1,-1,13,ND_DX_0,1,0,0,24xIq0x
-1,-1,-1,14,ND_PX_1,0.51,0.51,0,24xIq0x
-1,-1,-1,15,ND_NX_0,0.49,0,0.48,24xIq0x
0.5,0.49,0,16,PX_UN_0,0.36,0.35,0.35,24xIq0x
0.49,0,0.49,17,PX_DX_0,0,0,1,24xIq0x
0.5,0.49,0,18,NX_DX_0,0,0,1,24xIq0x
-1,-1,-1,19,ND_UN_0,0.36,0.35,0.36,24xIq0x
0.49,0.49,-1,20,UN_DX_0,0,0,1,24xIq0x
0.48,0.47,-1,21,UN_NX_0,0,0.47,0.46,24xIq0x
0,0.49,0.48,22,NX_NX_0,0.5,0,0.5,24xIq0x
0.48,0.48,0,23,NX_UN_0,0.4,0.29,0.42,24xIq0x
-1,-1,-1,1,ND_DX_0,1,0,0,JaoJ0Ui
0,1,-1,2,DX_UN_0,0.52,0.52,0.53,JaoJ0Ui
1,0,-1,3,DX_NX_0,0,0,1,JaoJ0Ui
-1,-1,-1,4,ND_PX_0,0.5,0,0.49,JaoJ0Ui
0.48,0.48,0,5,NX_UN_0,0.51,0.35,0.5,JaoJ0Ui
0.45,0.45,-1,6,UN_PX_0,0.5,0,0.5,JaoJ0Ui
1,0,-1,7,DX_DX_0,0,0,1,JaoJ0Ui
-1,-1,-1,8,ND_NX_0,0.5,0,0.5,JaoJ0Ui
0.48,0.49,0,9,NX_DX_0,0,0,1,JaoJ0Ui
0.44,0.44,-1,10,UN_UN_0,0.49,0.5,0.5,JaoJ0Ui
-1,-1,-1,11,ND_UN_0,0.46,0.49,0.48,JaoJ0Ui
0.48,0.48,0,12,PX_NX_0,0.53,0.52,0,JaoJ0Ui
-1,-1,-1,13,ND_NX_1,0.51,0,0.49,JaoJ0Ui
0.47,0,0.46,14,PX_DX_0,0,0,1,JaoJ0Ui
0.47,0.46,0,15,NX_PX_0,0.5,0,0.53,JaoJ0Ui
0,0.48,0.49,16,NX_NX_0,0.49,0,0.5,JaoJ0Ui
0,1,-1,17,DX_PX_0,0.5,0.5,0,JaoJ0Ui
0.48,0.48,0,18,PX_UN_0,0.48,0.49,0.5,JaoJ0Ui
0.45,0.47,0,19,PX_PX_0,0.26,0,0.72,JaoJ0Ui
1,0,-1,20,UN_NX_0,0,0,0.55,JaoJ0Ui
0.48,0.44,-1,21,UN_DX_0,0,0,0.52,JaoJ0Ui
-1,-1,-1,22,ND_DX_1,1,0,0,JaoJ0Ui
-1,-1,-1,23,ND_PX_1,0.48,0.49,0,JaoJ0Ui
0.36,0.7,-1,1,DX_NX_0,0.21,0.18,0.9,O9oMY0r
-1,-1,-1,2,ND_NX_0,0.26,0.49,0.76,O9oMY0r
-1,-1,-1,3,ND_PX_1,0.87,0.45,0.13,O9oMY0r
0.87,0.47,0.12,4,PX_NX_0,0.13,0.64,0.72,O9oMY0r
-1,-1,-1,5,ND_DX_0,0.8,0.59,0.41,O9oMY0r
0.51,0.53,-1,6,UN_PX_0,0.58,0.17,0.65,O9oMY0r
0.28,0.54,0.78,7,PX_DX_0,0.6,0.42,0.65,O9oMY0r
0.4,0.84,-1,8,DX_UN_0,0.39,0.59,0.77,O9oMY0r
-1,-1,-1,9,ND_UN_0,0.4,0.53,0.71,O9oMY0r
0.25,0.86,0.15,10,NX_DX_0,0.26,0.46,0.82,O9oMY0r
-1,-1,-1,11,ND_DX_1,0.56,0.87,0.15,O9oMY0r
0.39,0.81,-1,12,DX_DX_0,0.18,0.43,0.7,O9oMY0r
0.18,0.78,-1,13,UN_DX_0,0.44,0.84,0.74,O9oMY0r
0.17,0.34,0.71,14,NX_NX_0,0.77,0.14,0.81,O9oMY0r
0.22,0.25,0.93,15,PX_PX_0,0.39,0.48,0.71,O9oMY0r
-1,-1,-1,16,ND_NX_1,0.72,0.92,0.25,O9oMY0r
0.85,0.26,0.09,17,PX_UN_0,0.67,0.78,0.29,O9oMY0r
0.87,0.23,0.07,18,NX_UN_0,0.32,0.82,0.09,O9oMY0r
0.53,0.32,-1,19,UN_UN_0,0.48,0.78,0.22,O9oMY0r
0.24,0.78,0.6,20,NX_PX_0,0.59,0.25,0.7,O9oMY0r
-1,-1,-1,21,ND_PX_0,0.62,0.81,0.33,O9oMY0r
0.38,0.82,-1,22,UN_NX_0,0.47,0.69,0.27,O9oMY0r
0.54,0.54,-1,23,DX_PX_0,0.55,0.47,0.16,O9oMY0r
-1,-1,-1,1,ND_DX_0,1,0,0,CZxhU0g
0.75,0.23,-1,2,DX_NX_0,0.49,0,0.48,CZxhU0g
1,0,-1,3,DX_DX_0,0,0,1,CZxhU0g
0,1,-1,4,DX_UN_0,0.28,0.29,0.29,CZxhU0g
0.5,0.5,0,5,PX_PX_0,0.19,0,0.81,CZxhU0g
-1,-1,-1,6,ND_PX_1,0.3,0.65,0,CZxhU0g
-1,-1,-1,7,ND_NX_0,0.49,0,0.47,CZxhU0g
0,1,-1,8,DX_PX_0,0.27,0.76,0,CZxhU0g
0.28,0.73,0,9,NX_UN_0,0.46,0.11,0.48,CZxhU0g
0.5,0.5,0,10,NX_DX_0,0,0,1,CZxhU0g
0.25,0,0.75,11,PX_DX_0,0,0,1,CZxhU0g
-1,-1,-1,12,ND_PX_0,0.88,0,0.12,CZxhU0g
0.48,0.48,0,13,PX_UN_0,0.27,0.43,0.15,CZxhU0g
0,0.48,0.48,14,NX_NX_0,0.5,0,0.5,CZxhU0g
0.5,0.5,-1,15,UN_UN_0,0.32,0.33,0.33,CZxhU0g
-1,-1,-1,16,ND_DX_1,1,0,0,CZxhU0g
0.5,0.5,-1,17,UN_PX_0,0.49,0,0.5,CZxhU0g
0.5,0.5,-1,18,UN_DX_0,0,0,1,CZxhU0g
0.35,0.35,0.35,19,NX_PX_0,0.52,0,0.52,CZxhU0g
-1,-1,-1,20,ND_NX_1,0.48,0,0.46,CZxhU0g
0.48,0.48,-1,21,UN_NX_0,0,0.5,0.5,CZxhU0g
0.32,0.32,0.32,22,PX_NX_0,0.5,0.51,0,CZxhU0g
-1,-1,-1,23,ND_UN_0,0.36,0.36,0.36,CZxhU0g
-1,-1,-1,1,ND_UN_0,0.99,0.46,0.03,CZZaUmO
-1,-1,-1,2,ND_DX_1,0.01,0.98,0.02,CZZaUmO
0.02,0.97,0.45,3,NX_NX_0,0.46,0.01,0.48,CZZaUmO
-1,-1,-1,4,ND_PX_0,0.97,0.03,0.02,CZZaUmO
0.02,0.97,-1,5,UN_DX_0,0.02,0.02,0.98,CZZaUmO
0.98,0.03,0.03,6,PX_UN_0,0.02,0.98,0.02,CZZaUmO
0.02,0.03,0.99,7,PX_PX_0,0.02,0.02,0.98,CZZaUmO
0.98,0.42,0.02,8,NX_UN_0,0.02,0.98,0.03,CZZaUmO
-1,-1,-1,9,ND_NX_1,0.97,0,0.02,CZZaUmO
0.44,0.42,-1,10,UN_PX_0,0.52,0.02,0.46,CZZaUmO
0.47,0.46,0.02,11,PX_NX_0,0.48,0.49,0.04,CZZaUmO
0.98,0.03,-1,12,DX_PX_0,0.47,0.48,0.02,CZZaUmO
0.44,0.44,-1,13,UN_UN_0,0.45,0.45,0.47,CZZaUmO
0.45,0.43,0.03,14,NX_PX_0,0.47,0.02,0.47,CZZaUmO
0.42,0.43,-1,15,UN_NX_0,0.03,0.49,0.5,CZZaUmO
0.98,0.02,-1,16,DX_DX_0,0.03,0.02,0.97,CZZaUmO
-1,-1,-1,17,ND_DX_0,0.99,0.03,0.03,CZZaUmO
-1,-1,-1,18,ND_NX_0,0.44,0.02,0.45,CZZaUmO
0.44,0.44,0.03,19,NX_DX_0,0,0.01,0.99,CZZaUmO
0.02,0.98,-1,20,DX_UN_0,0.44,0.45,0.46,CZZaUmO
0.03,0.04,0.98,21,PX_DX_0,0.03,0.02,0.99,CZZaUmO
0.96,0.02,-1,22,DX_NX_0,0.49,0.98,0.49,CZZaUmO
-1,-1,-1,23,ND_PX_1,0.44,0.44,0.04,CZZaUmO
0.71,0.49,-1,1,UN_DX_0,0.44,0.67,0.67,gEuxK4l
0.47,0.46,-1,2,DX_PX_0,0.53,0.52,0.84,gEuxK4l
0.6,0.35,0.31,3,PX_PX_0,0.81,0.33,0.86,gEuxK4l
0.56,0.58,-1,4,UN_NX_0,0.05,0.74,0.64,gEuxK4l
0.37,0.64,-1,5,UN_PX_0,0.72,0.39,0.76,gEuxK4l
0.14,0.68,0.17,6,PX_NX_0,0.73,0.03,0.77,gEuxK4l
-1,-1,-1,7,ND_NX_0,0.49,0.03,0.49,gEuxK4l
0.02,1,-1,8,DX_UN_0,0.06,0.07,0.87,gEuxK4l
0.67,0.67,0.02,9,NX_DX_0,0.04,0.01,1,gEuxK4l
0.55,0.56,0.02,10,PX_UN_0,0.51,0.53,0.3,gEuxK4l
-1,-1,-1,11,ND_DX_1,0.98,0,0,gEuxK4l
-1,-1,-1,12,ND_DX_0,0.97,0,0.03,gEuxK4l
-1,-1,-1,13,ND_UN_0,0.56,0.57,0.58,gEuxK4l
0.53,0.52,-1,14,DX_DX_0,0,0,0.72,gEuxK4l
0.5,0.48,-1,15,UN_UN_0,0.49,0.5,0.51,gEuxK4l
0.47,0.03,0.47,16,PX_DX_0,0.04,0.02,1,gEuxK4l
0.48,0.45,0.44,17,NX_PX_0,0.38,0.04,0.94,gEuxK4l
-1,-1,-1,18,ND_PX_0,0.62,0.02,0.61,gEuxK4l
1,0.04,-1,19,DX_NX_0,0.7,0.01,0.78,gEuxK4l
0.01,0.64,0.63,20,NX_NX_0,0.43,0.01,0.57,gEuxK4l
-1,-1,-1,21,ND_NX_1,0.7,0.03,0.61,gEuxK4l
0.53,0.53,0.03,22,NX_UN_0,0.78,0.21,0.78,gEuxK4l
-1,-1,-1,23,ND_PX_1,0.46,0.48,0.02,gEuxK4l
0,1,-1,1,DX_UN_0,0.16,0,0.92,PL7LmvQ
0.07,0.91,0.45,2,NX_NX_0,0.45,0.12,0.49,PL7LmvQ
0.02,0.03,0.94,3,PX_DX_0,0,0.01,0.99,PL7LmvQ
0.48,0.71,0.01,4,NX_UN_0,0.09,0.9,0.02,PL7LmvQ
0.47,0.47,-1,5,UN_UN_0,0.42,0.58,0.43,PL7LmvQ
0.89,0.1,-1,6,DX_NX_0,0.08,0.04,0.9,PL7LmvQ
0.09,0.48,0.48,7,PX_PX_0,0.5,0.09,0.51,PL7LmvQ
-1,-1,-1,8,ND_DX_0,0.89,0.04,0.1,PL7LmvQ
0.88,0.08,-1,9,UN_DX_0,0.01,0,0.99,PL7LmvQ
0.85,0.07,0,10,PX_UN_0,0.15,0.86,0.09,PL7LmvQ
-1,-1,-1,11,ND_UN_0,0.54,0.13,0.45,PL7LmvQ
-1,-1,-1,12,ND_NX_0,0.44,0.02,0.44,PL7LmvQ
0.46,0.47,-1,13,UN_PX_0,0.52,0.03,0.53,PL7LmvQ
-1,-1,-1,14,ND_PX_0,0.94,0,0.08,PL7LmvQ
0.41,0.34,0.23,15,PX_NX_0,0.26,0.56,0.06,PL7LmvQ
0.48,0.49,-1,16,UN_NX_0,0,0.5,0.52,PL7LmvQ
0.46,0.47,0.08,17,NX_PX_0,0.47,0.11,0.46,PL7LmvQ
-1,-1,-1,18,ND_NX_1,0.64,0.05,0.48,PL7LmvQ
-1,-1,-1,19,ND_PX_1,0.56,0.3,0.01,PL7LmvQ
-1,-1,-1,20,ND_DX_1,0.93,0.04,0.04,PL7LmvQ
0.79,0.46,0.05,21,NX_DX_0,0,0.01,1,PL7LmvQ
0.85,0.07,-1,22,DX_DX_0,0.01,0.01,0.98,PL7LmvQ
0.53,0.34,-1,23,DX_PX_0,0.15,0.49,0.68,PL7LmvQ
-1,-1,-1,1,ND_UN_0,0.75,0.75,0.47,7i4UaDD
0.5,0.49,0.01,2,NX_UN_0,0.51,0.51,0.01,7i4UaDD
0.49,0.49,-1,3,UN_DX_0,0.02,0,0.99,7i4UaDD
0.01,0.54,0.55,4,NX_NX_0,0.52,0.01,0.54,7i4UaDD
-1,-1,-1,5,ND_DX_1,0.98,0.01,0.01,7i4UaDD
-1,-1,-1,6,ND_PX_1,0.47,0.67,0.01,7i4UaDD
0.99,0.01,-1,7,DX_NX_0,0.64,0.02,0.55,7i4UaDD
0.5,0.5,-1,8,UN_PX_0,1,0.02,0.02,7i4UaDD
-1,-1,-1,9,ND_DX_0,1,0,0,7i4UaDD
0.81,0.46,0.01,10,PX_UN_0,0.75,0.15,0.5,7i4UaDD
0.5,0.71,0.01,11,PX_PX_0,0.45,0.01,0.68,7i4UaDD
0.05,0.95,-1,12,DX_PX_0,0.51,0.85,0,7i4UaDD
-1,-1,-1,13,ND_NX_1,0.87,0.06,0.36,7i4UaDD
0.51,0.5,0.98,14,NX_DX_0,0.01,0.02,0.99,7i4UaDD
0.47,0.47,-1,15,UN_NX_0,0.02,0.55,0.56,7i4UaDD
-1,-1,-1,16,ND_NX_0,0.79,0,0.07,7i4UaDD
0.52,0.52,0,17,NX_PX_0,0.07,0.01,0.88,7i4UaDD
0.99,0.01,-1,18,DX_DX_0,0.01,0.02,0.97,7i4UaDD
-1,-1,-1,19,ND_PX_0,0.98,0,0,7i4UaDD
0.53,0.51,0.01,20,PX_NX_0,0.54,0.55,0.01,7i4UaDD
0.54,0.54,0.53,21,PX_DX_0,0.01,0.01,0.97,7i4UaDD
0,0.98,-1,22,DX_UN_0,0.48,0.47,0.49,7i4UaDD
0.51,0.5,-1,23,UN_UN_0,0.55,0.55,0.56,7i4UaDD
0.22,0,0.84,1,NX_PX_0,0.06,0,0.93,fAbFE2e
-1,-1,-1,2,ND_NX_1,0.44,0.66,0.34,fAbFE2e
0.43,0.44,-1,3,UN_UN_0,0.03,0.68,0.68,fAbFE2e
0.14,0.69,-1,4,DX_DX_0,0.08,0.06,0.85,fAbFE2e
-1,-1,-1,5,ND_NX_0,0.76,0.04,0.82,fAbFE2e
-1,-1,-1,6,ND_DX_0,0.7,0.05,0.04,fAbFE2e
0.69,0.34,-1,7,UN_PX_0,0.82,0.02,0.7,fAbFE2e
0.8,0.57,0.01,8,PX_NX_0,0.63,0.62,0,fAbFE2e
0,1,-1,9,DX_UN_0,0.05,0.06,0.49,fAbFE2e
-1,-1,-1,10,ND_DX_1,0,0.98,0,fAbFE2e
0.51,0.59,-1,11,DX_PX_0,0.01,0.72,0,fAbFE2e
0.01,0.01,0.96,12,PX_DX_0,0.02,0.01,0.85,fAbFE2e
0.01,0.61,0.57,13,NX_NX_0,0.01,0.03,0.9,fAbFE2e
0.57,0.01,0.36,14,NX_DX_0,0.02,0.01,0.95,fAbFE2e
0.77,0.76,0,15,NX_UN_0,0.07,0.83,0.08,fAbFE2e
-1,-1,-1,16,ND_PX_0,0.86,0.01,0.01,fAbFE2e
0.78,0.72,0,17,PX_UN_0,0.02,0.64,0.01,fAbFE2e
0.54,0.52,-1,18,UN_NX_0,0,0.76,0.79,fAbFE2e
-1,-1,-1,19,ND_UN_0,0.47,0.48,0.48,fAbFE2e
-1,-1,-1,20,ND_PX_1,0.63,0.74,0,fAbFE2e
0.66,0.07,0.64,21,PX_PX_0,0.03,0.02,0.68,fAbFE2e
0.7,0.5,-1,22,DX_NX_0,0.68,0.01,0.64,fAbFE2e
0.73,0.46,-1,23,UN_DX_0,0.01,0.02,0.76,fAbFE2e
0.74,0,-1,1,DX_DX_0,0,0.01,0.81,Atgn7p1
-1,-1,-1,2,ND_NX_0,0.48,0,0.48,Atgn7p1
-1,-1,-1,3,ND_NX_1,1,0,0.49,Atgn7p1
-1,-1,-1,4,ND_UN_0,0.51,0.5,0.49,Atgn7p1
0,0.47,0.47,5,NX_NX_0,0.51,0,0.51,Atgn7p1
-1,-1,-1,6,ND_PX_1,0.44,0.44,0,Atgn7p1
0.41,0.52,0,7,NX_UN_0,0.49,0.47,0.5,Atgn7p1
-1,-1,-1,8,ND_DX_0,1,0,0,Atgn7p1
0.49,0,0.54,9,PX_DX_0,0,0,1,Atgn7p1
0,1,-1,10,DX_UN_0,0.51,0.51,0.51,Atgn7p1
-1,-1,-1,11,ND_PX_0,0.69,0,0.57,Atgn7p1
0.5,0.51,-1,12,UN_PX_0,0.57,0,0.56,Atgn7p1
0.45,0.46,-1,13,UN_DX_0,0,0,1,Atgn7p1
0.47,0.48,0,14,NX_PX_0,0.52,0,0.53,Atgn7p1
0.5,0.51,0,15,PX_UN_0,0.48,0.49,0.49,Atgn7p1
0,1,-1,16,DX_PX_0,0.56,0.56,0,Atgn7p1
-1,-1,-1,17,ND_DX_1,1,0,0,Atgn7p1
0.31,0.45,0,18,PX_PX_0,0.45,0,0.45,Atgn7p1
1,0,-1,19,DX_NX_0,0.5,0,0.49,Atgn7p1
0.54,0.54,-1,20,UN_NX_0,0,0.48,0.49,Atgn7p1
0.47,0.47,0,21,NX_DX_0,0,0,1,Atgn7p1
0.42,0.43,0,22,PX_NX_0,0.5,0.5,0,Atgn7p1
0.47,0.46,-1,23,UN_UN_0,0.48,0.49,0.46,Atgn7p1
0.77,0.97,-1,1,UN_NX_0,0.16,0.46,1,P3OPfCh
-1,-1,-1,2,ND_NX_1,0,1,0,P3OPfCh
0,1,-1,3,DX_UN_0,0.88,0.55,0.97,P3OPfCh
0.6,0.92,0.75,4,PX_UN_0,0.36,1,0.18,P3OPfCh
-1,-1,-1,5,ND_DX_1,0.43,1,0,P3OPfCh
0.34,0.6,-1,6,DX_NX_0,0.25,0.63,1,P3OPfCh
-1,-1,-1,7,ND_DX_0,1,0.47,0.16,P3OPfCh
1,0.16,0,8,NX_UN_0,0.32,1,0.08,P3OPfCh
-1,-1,-1,9,ND_PX_0,0.76,0.76,0.09,P3OPfCh
-1,-1,-1,10,ND_UN_0,0.08,0.2,0.86,P3OPfCh
1,0.4,-1,11,DX_PX_0,0.37,1,0.14,P3OPfCh
-1,-1,-1,12,ND_PX_1,1,0.22,0.58,P3OPfCh
0.49,0.49,-1,13,UN_UN_0,0.82,0.39,0.4,P3OPfCh
0.31,0.6,-1,14,DX_DX_0,0.45,0.46,0.82,P3OPfCh
0.57,0,0.8,15,NX_DX_0,0,0,0.77,P3OPfCh
0,0,0.6,16,PX_DX_0,0.39,0.07,0.79,P3OPfCh
0,0.14,0.77,17,PX_PX_0,0.7,0.16,0.64,P3OPfCh
-1,-1,-1,18,ND_NX_0,0.78,0.24,0.64,P3OPfCh
0.99,0.4,0.58,19,PX_NX_0,0.25,0.76,0.42,P3OPfCh
0.58,0.46,-1,20,UN_PX_0,0.55,0.47,0.45,P3OPfCh
0.44,0.46,0.71,21,NX_PX_0,0.69,0,0.72,P3OPfCh
0,0.33,0,22,NX_NX_0,0.72,0.11,0.6,P3OPfCh
0.45,0.76,-1,23,UN_DX_0,0.71,0.54,0.67,P3OPfCh
-1,-1,-1,1,ND_DX_0,1,0,0,beAL0CO
0,1,1,2,NX_NX_0,1,0,0,beAL0CO
0,0,1,3,PX_DX_0,0,0,1,beAL0CO
1,0,0,4,NX_DX_0,0,0,1,beAL0CO
0,1,-1,5,DX_UN_0,0,0,1,beAL0CO
1,1,0,6,PX_NX_0,1,1,0,beAL0CO
-1,-1,-1,7,ND_PX_1,1,1,0,beAL0CO
1,1,-1,8,UN_NX_0,0,1,1,beAL0CO
1,0,-1,9,DX_NX_0,1,0.01,1,beAL0CO
0,1,0,10,PX_UN_0,0,1,0,beAL0CO
0,1,0,11,NX_UN_0,1,1,1,beAL0CO
1,1,-1,12,UN_DX_0,0,0,1,beAL0CO
0,1,-1,13,DX_PX_0,1,1,0,beAL0CO
-1,-1,-1,14,ND_PX_0,1,0,0,beAL0CO
-1,-1,-1,15,ND_UN_0,1,1,0,beAL0CO
0,1,0,16,PX_PX_0,1,0,1,beAL0CO
-1,-1,-1,17,ND_DX_1,1,0,0,beAL0CO
