participant,map,bayes_factor
7,ND_NX_0,2248.9157735060253
7,DX_DX_0,304.5506953362139
7,PX_NX_0,9003.877938636168
7,DX_NX_0,80279.75165132736
7,NX_NX_0,1032.836970077313
7,UN_PX_0,16120.329068952587
7,ND_DX_0,155.02954485051845
7,DX_UN_0,2463.440133256912
7,PX_DX_0,77.8266137016065
7,DX_PX_0,452.25648742475397
7,NX_DX_0,5409.361850837775
7,ND_UN_0,765.3688341410576
7,PX_UN_0,61223.41931473676
7,ND_DX_1,94.09412384764596
7,ND_PX_1,62548.42316002016
7,NX_PX_0,891.8816284943563
7,UN_NX_0,6399.22428028177
7,ND_NX_1,21.460589002618015
7,UN_DX_0,1993.801282696126
7,PX_PX_0,21826.751361672927
7,UN_UN_0,2699.6832562369395
7,ND_PX_0,248.3681192863802
7,NX_UN_0,155.5268684043408
