1,2,3,trial_num,map,prior,A,B,C,wrong_objective,unique_id,quiz_attempts
0.48,0.48,0.01,1,PX_UN_0,goals-162.png,0.26,0.71,0.51,0,613fab4f74f3b6eca3f3fbd0,1
0.48,0.48,0.01,2,PX_NX_0,goals-333.png,0.46,0.46,0.17,0,613fab4f74f3b6eca3f3fbd0,1
0.55,0.35,0.55,3,PX_DX_0,goals-216.png,0,0,1,0,613fab4f74f3b6eca3f3fbd0,1
0.51,0.51,-1,4,UN_DX_0,goals-216.png,0,0.01,0.99,0,613fab4f74f3b6eca3f3fbd0,1
0.49,0.49,-1,5,UN_NX_0,goals-333.png,0.01,0.48,0.48,0,613fab4f74f3b6eca3f3fbd0,1
0.29,0.76,0.13,6,PX_PX_0,goals-621.png,0.66,0.01,0.27,0,613fab4f74f3b6eca3f3fbd0,1
0.47,0.46,-1,7,UN_PX_0,goals-621.png,0.76,0.02,0.35,0,613fab4f74f3b6eca3f3fbd0,1
0.49,0.48,-1,8,UN_UN_0,goals-162.png,0.36,0.77,0.62,0,613fab4f74f3b6eca3f3fbd0,1
0.48,0.48,0.08,9,PX_PX_0,PX_PX_0_doors-621.png,0.39,0.01,0.41,0,613fab4f74f3b6eca3f3fbd0,1
0.49,0.49,0.06,10,NX_PX_0,NX_PX_0_doors-216.png,0.44,0.01,0.44,0,613fab4f74f3b6eca3f3fbd0,1
0.45,0.45,0.01,11,NX_UN_0,NX_UN_0_doors-333.png,0.46,0.46,0.46,0,613fab4f74f3b6eca3f3fbd0,1
0.99,0.02,-1,12,DX_UN_0,DX_UN_0_doors-54.png,0.47,0.47,0.48,0,613fab4f74f3b6eca3f3fbd0,1
0.09,0.88,-1,13,DX_PX_0,DX_PX_0_doors-54.png,0.61,0.61,0.07,0,613fab4f74f3b6eca3f3fbd0,1
0.77,0.28,0,14,PX_UN_0,PX_UN_0_doors-162.png,0.5,0.5,0.5,0,613fab4f74f3b6eca3f3fbd0,1
0.47,0.47,-1,15,UN_PX_0,UN_PX_0_doors-72.png,0.47,0.01,0.47,0,613fab4f74f3b6eca3f3fbd0,1
0.49,0.48,-1,16,UN_UN_0,UN_UN_0_doors-27.png,0.47,0.47,0.47,0,613fab4f74f3b6eca3f3fbd0,1
0.51,0.51,-1,1,UN_PX_0,goals-216.png,0.09,0.06,0.73,0,5d7de3327ea6c00015c233ea,1
0.51,0.53,-1,2,UN_DX_0,goals-621.png,0,0,1,0,5d7de3327ea6c00015c233ea,1
0.46,0.48,-1,3,UN_NX_0,goals-162.png,0,0.46,0.46,0,5d7de3327ea6c00015c233ea,1
0.75,0.08,0.02,4,PX_UN_0,goals-333.png,0.48,0.45,0.09,0,5d7de3327ea6c00015c233ea,1
0.43,0.46,-1,5,UN_UN_0,goals-333.png,0.68,0.68,0.69,0,5d7de3327ea6c00015c233ea,1
0.47,0.51,0,6,PX_NX_0,goals-162.png,0.48,0.45,0,0,5d7de3327ea6c00015c233ea,1
0.42,0,0.46,7,PX_DX_0,goals-621.png,0,0,0.97,0,5d7de3327ea6c00015c233ea,1
0.26,0.31,0,8,PX_PX_0,goals-216.png,0.23,0,0.71,0,5d7de3327ea6c00015c233ea,1
