participant,map,bayes_factor
4,ND_NX_1,20.384306521548563
4,UN_DX_0,7393.567819433583
4,PX_UN_0,1.403071990433885e-109
4,DX_DX_0,314.1336355691472
4,DX_PX_0,5777.987351155801
4,NX_NX_0,983.7148523565138
4,ND_DX_0,4368.892875103117
4,UN_NX_0,6340.617480453386
4,ND_UN_0,2.7925380117245623e-98
4,NX_DX_0,51982.26129991231
4,NX_PX_0,13135.597180907847
4,PX_PX_0,87910.36846707034
4,ND_PX_1,61710.41470411852
4,UN_PX_0,7814.814868563089
4,DX_UN_0,9793.885713510976
4,PX_NX_0,9318.5808942794
4,DX_NX_0,76156.6006905824
4,ND_PX_0,1012.0487045734438
4,ND_NX_0,4113.858568979011
4,ND_DX_1,526.5772372304939
4,NX_UN_0,2632.732474861788
4,UN_UN_0,5612.946129552289
4,PX_DX_0,1995966.5729115482
