participant,map,bayes_factor
3,UN_PX_0,8340.137743528938
3,ND_PX_0,252.19380612350386
3,UN_NX_0,95024.19394430822
3,DX_UN_0,9914.15271103887
3,UN_UN_0,9648.044146484508
3,NX_PX_0,3647.393806532204
3,DX_NX_0,687.5996358983236
3,NX_UN_0,149.3650766492956
3,NX_NX_0,992.871571255701
3,NX_DX_0,5400.235606484004
3,PX_NX_0,166739.8460799558
3,DX_DX_0,2595.430932413963
3,ND_DX_0,296.58959421959577
3,PX_DX_0,74.06330002482717
3,PX_PX_0,15172.247908436306
3,ND_UN_0,724.9936166086992
3,UN_DX_0,7474.252913661676
3,ND_NX_1,66.97155252792285
3,ND_DX_1,531.6868419167283
3,PX_UN_0,69295.68800477713
3,ND_PX_1,7915.074920209183
3,ND_NX_0,4358.282742824617
3,DX_PX_0,5500.556726426024
