participant,map,bayes_factor
5,ND_DX_0,256.00621041189305
5,ND_PX_0,284.00934842909743
5,PX_PX_0,2522.666844837971
5,NX_UN_0,132.26416156759205
5,DX_NX_0,800.9375185045482
5,ND_DX_1,554.619519170131
5,DX_PX_0,5389.924703619941
5,ND_NX_0,4552.553760092196
5,DX_DX_0,2546.4626113596646
5,UN_NX_0,105043.89254081185
5,PX_UN_0,62521.73887903109
5,UN_UN_0,10873.20176354221
5,NX_NX_0,898.8250361467427
5,DX_UN_0,10891.13275418515
5,ND_PX_1,8039.852647846415
5,ND_UN_0,742.8645835822782
5,PX_NX_0,166162.7347630807
5,NX_DX_0,5085.691330257918
5,UN_PX_0,29826.689150114322
5,PX_DX_0,80.3428740805795
5,UN_DX_0,8155.519874422286
5,NX_PX_0,3800.6434623750565
5,ND_NX_1,20.056746283880095
