participant,map,bayes_factor
19,DX_PX_0,5362.746324077769
19,UN_DX_0,8172.448139874977
19,PX_PX_0,23502.84743729644
19,NX_DX_0,46481.26913935597
19,ND_UN_0,1500.2045464452422
19,PX_UN_0,32555.59998612129
19,ND_NX_1,19.38910985824412
19,DX_UN_0,2788.580850911017
19,PX_DX_0,75.95874918027025
19,PX_NX_0,8848.776852417306
19,ND_DX_1,557.364805752232
19,DX_NX_0,84839.3101997377
19,NX_NX_0,1063.331953227695
19,ND_PX_1,58235.33416588986
19,UN_PX_0,30777.31812277578
19,ND_PX_0,275.5598680669724
19,UN_NX_0,93560.0084543565
19,DX_DX_0,304.1854969686212
19,NX_PX_0,17725.29439685964
19,ND_DX_0,287.24613798736686
19,ND_NX_0,1070.4519833303698
19,UN_UN_0,2468.7844001503136
19,NX_UN_0,145.2365809895035
