participant,map,bayes_factor
17,DX_NX_0,19439.875009088577
17,ND_NX_0,4566.036656709248
17,NX_DX_0,5240.155609822033
17,UN_DX_0,7803.037396125442
17,ND_DX_1,527.8830410725964
17,UN_PX_0,7581.82337278848
17,ND_UN_0,801.7733007811028
17,DX_UN_0,11318.595871500753
17,DX_DX_0,304.1964042333402
17,PX_UN_0,60528.46777712039
17,NX_PX_0,3411.627267568959
17,ND_NX_1,1123.2717616979526
17,DX_PX_0,5409.893760726386
17,PX_DX_0,78.16729149977131
17,NX_UN_0,148.5441686953319
17,ND_PX_1,63485.13449546321
17,PX_NX_0,9422.98138110121
17,UN_UN_0,11905.889954335733
17,ND_PX_0,1048.2586585121128
17,ND_DX_0,278.04588025582245
17,PX_PX_0,88064.4384528795
17,UN_NX_0,102435.47638351192
17,NX_NX_0,1010.9068622196658
