participant,map,bayes_factor
22,PX_DX_0,70.85345527597345
22,NX_NX_0,1017.9251953286617
22,PX_UN_0,61129.58406977965
22,NX_PX_0,3998.930580884313
22,NX_DX_0,5581.361472766073
22,UN_NX_0,96395.15879116481
22,DX_PX_0,5505.518530024814
22,ND_DX_0,269.831005721962
22,ND_PX_1,57346.56366502672
22,UN_DX_0,7865.36392966277
22,DX_DX_0,287.2517583370303
22,NX_UN_0,99032.54754447345
22,ND_NX_1,65.15233507374154
22,UN_PX_0,15252.426616529365
22,DX_UN_0,10130.749395465062
22,PX_NX_0,9316.069785493764
22,UN_UN_0,5310.191858857182
22,PX_PX_0,14955.413375356233
22,DX_NX_0,3104.1194900036267
22,ND_NX_0,4448.898611840713
22,ND_UN_0,765.4387206327656
22,ND_PX_0,17653.951225088287
22,ND_DX_1,516.8281912747984
