participant,map,bayes_factor
25,DX_NX_0,3145.2043959472458
25,PX_DX_0,78.83649292109337
25,DX_PX_0,5369.318802573926
25,PX_UN_0,73457.74577512704
25,DX_DX_0,70.65651454344226
25,ND_UN_0,713.929056419126
25,UN_NX_0,102623.01603116519
25,ND_NX_0,2164.0450822925554
25,UN_UN_0,1354.8312434353575
25,ND_DX_1,538.5117181328902
25,ND_PX_0,285.4287995397391
25,UN_DX_0,8213.79778654672
25,PX_PX_0,253.14422071552826
25,NX_PX_0,988.7396004771881
25,PX_NX_0,182187.43705901143
25,NX_NX_0,917.2511786676745
25,NX_DX_0,51586.50979141457
25,ND_DX_0,275.5157748066312
25,DX_UN_0,2337.772874067539
25,ND_NX_1,20.024644509809036
25,NX_UN_0,146.9677385975081
25,ND_PX_1,8133.023014565666
25,UN_PX_0,2018.3937545226236
