participant,map,bayes_factor
5,UN_PX_0,7599.636732567196
5,ND_DX_1,93.89436445733202
5,NX_UN_0,152.958872635655
5,UN_DX_0,2025.858062805681
5,UN_NX_0,6027.437797231051
5,DX_PX_0,426.49682377122303
5,NX_NX_0,1499.6244630262886
5,ND_NX_0,1038.1743754920724
5,NX_DX_0,640.456644089144
5,ND_PX_1,58278.95217561002
5,PX_UN_0,61570.6858910948
5,DX_UN_0,9666.065471975924
5,ND_DX_0,130.21103443477116
5,PX_DX_0,75.04247897160316
5,DX_NX_0,18405.249274655675
5,ND_UN_0,1492.3135792235132
5,ND_PX_0,1715.1879379301577
5,NX_PX_0,125.0293436372092
5,DX_DX_0,62.7063719258233
5,PX_PX_0,152.58297934521696
5,PX_NX_0,8855.248604876353
5,UN_UN_0,2422.0127362843377
5,ND_NX_1,21.538614104728964
