participant,map,bayes_factor
35,ND_PX_0,249.85286392598732
35,NX_UN_0,139.27729470682843
35,NX_NX_0,967.5376173870337
35,PX_PX_0,340.42432947225967
35,DX_NX_0,2984.0449947528423
35,UN_PX_0,30787.68401575107
35,ND_PX_1,7491.7396929030965
35,PX_DX_0,78.54904943264721
35,ND_DX_0,285.8723797634176
35,ND_NX_0,4756.647142292469
35,ND_UN_0,687.6098663246468
35,ND_DX_1,541.4961532743472
35,NX_DX_0,44660.90757997274
35,ND_NX_1,65.81933993069933
35,DX_UN_0,10109.411818019751
35,UN_NX_0,6241.929905459298
35,PX_NX_0,177136.6294149273
35,UN_DX_0,7536.258672730029
35,UN_UN_0,5478.694299462643
35,DX_DX_0,306.5473316542672
35,NX_PX_0,3823.9776647076383
35,PX_UN_0,66084.15130335873
35,DX_PX_0,5242.136656565137
