participant,map,bayes_factor
27,NX_UN_0,2756.8011030996
27,ND_DX_1,494.53264504161837
27,NX_PX_0,4000.9252660404713
27,NX_NX_0,6387.877274308547
27,PX_UN_0,35032.26531486659
27,DX_PX_0,5531.047275323949
27,DX_DX_0,5825.741905889531
27,NX_DX_0,6143.655317455772
27,ND_UN_0,22453.173517781415
27,UN_PX_0,15403.300025554947
27,DX_UN_0,1527.2380192116905
27,ND_PX_1,7745.296612440813
27,PX_NX_0,9116.23998684166
27,ND_PX_0,1077.5572926215086
27,PX_PX_0,235.43013173440414
27,PX_DX_0,75.25301639752769
27,ND_NX_1,62.85100742784297
27,UN_UN_0,5467.53742392862
27,UN_NX_0,96616.41682779283
27,UN_DX_0,7628.284078374663
27,ND_DX_0,286.8668720357971
27,ND_NX_0,4660.544008618176
27,DX_NX_0,83207.87909128467
