participant,map,bayes_factor
2,NX_PX_0,3454.6286978039757
2,UN_DX_0,8258.538210235776
2,DX_PX_0,5445.187491771197
2,DX_NX_0,2897.749004411395
2,PX_DX_0,84.01173728108112
2,DX_UN_0,9516.551214450326
2,ND_DX_0,295.54054599092154
2,ND_PX_0,257.6766590282817
2,NX_UN_0,2589.4667082687965
2,ND_PX_1,56864.14573506464
2,UN_NX_0,99597.0919014587
2,ND_UN_0,736.7897319940362
2,ND_DX_1,534.3922762234314
2,UN_PX_0,27590.854465361914
2,NX_NX_0,1028.8638964363727
2,NX_DX_0,45011.99653323314
2,DX_DX_0,321.8831687939073
2,PX_NX_0,186708.6538278267
2,UN_UN_0,10206.626735076223
2,ND_NX_1,69.54759633353703
2,PX_PX_0,22403.95485452496
2,ND_NX_0,4875.950581598808
2,PX_UN_0,63038.597481707315
