participant,map,bayes_factor
9,NX_UN_0,2642.3761269564325
9,UN_DX_0,8227.486783955297
9,ND_PX_0,251.8011173575887
9,UN_PX_0,29480.175172961037
9,NX_PX_0,129.22848335663124
9,NX_DX_0,5347.435262106848
9,ND_DX_1,530.1823910618609
9,ND_PX_1,57872.67146223093
9,PX_PX_0,2717.1604494767826
9,ND_NX_0,4392.008669842205
9,UN_UN_0,10578.202028830205
9,DX_DX_0,132.77082005787554
9,UN_NX_0,88913.30892376401
9,ND_DX_0,278.77729888198996
9,PX_UN_0,28739.3036769883
9,PX_NX_0,9063.922434368875
9,ND_UN_0,799.9091175662347
9,ND_NX_1,19.809379141503733
9,PX_DX_0,7.062142206887464e-115
9,DX_PX_0,18115.521416321753
9,DX_NX_0,0.0
9,NX_NX_0,867.5464715836762
9,DX_UN_0,9789.810217366236
