participant,map,bayes_factor
33,UN_NX_0,91856.8501797762
33,PX_NX_0,9143.737819957802
33,ND_UN_0,1412.3353044472622
33,UN_UN_0,11224.82495517813
33,DX_PX_0,5269.215588950611
33,ND_PX_1,59169.36660246932
33,UN_DX_0,7544.275279523986
33,ND_DX_1,90.13059989162736
33,DX_NX_0,771.5090510030997
33,DX_UN_0,9015.962108331394
33,PX_PX_0,2684.775900320127
33,ND_NX_1,20.861628150579637
33,PX_DX_0,76.22482211106295
33,UN_PX_0,8213.87287964961
33,ND_PX_0,7248.424439988634
33,PX_UN_0,15366.552815547218
33,NX_UN_0,145.02737796441346
33,NX_DX_0,5001.801735598911
33,NX_PX_0,135.6979019704452
33,DX_DX_0,325.8652386515044
33,NX_NX_0,484.1456577395067
33,ND_DX_0,282.6051974969943
33,ND_NX_0,4282.72668071359
