participant,map,bayes_factor
16,ND_PX_1,66340.79807630565
16,NX_UN_0,147.82174162425505
16,NX_PX_0,132.23065682812992
16,UN_UN_0,5193.278938141197
16,ND_NX_1,20.954829090223228
16,PX_UN_0,14982.993933402007
16,DX_PX_0,18048.375592983048
16,ND_DX_1,96.23103065404041
16,UN_PX_0,27980.111321184173
16,NX_DX_0,639.101222047486
16,DX_UN_0,9629.888511531146
16,PX_PX_0,8.478110967688442
16,UN_NX_0,96150.60213132601
16,UN_DX_0,1916.1381979721277
16,DX_NX_0,3454.8443922430815
16,ND_DX_0,277.02795416424647
16,PX_NX_0,10233.149900154998
16,NX_NX_0,600.5949139407899
16,ND_NX_0,4610.0808415402435
16,DX_DX_0,136.13219288935704
16,ND_UN_0,772.2538057804933
16,PX_DX_0,79.04797971296293
16,ND_PX_0,1047.0662809179094
