participant,map,bayes_factor
32,UN_PX_0,29547.584626438802
32,ND_PX_1,64417.75014491587
32,NX_NX_0,2039.4071052339905
32,UN_DX_0,8293.88269209299
32,ND_DX_0,4283.353087530024
32,UN_NX_0,93431.62827580768
32,ND_UN_0,23026.15187259969
32,ND_NX_0,2213.678875384359
32,NX_UN_0,145.48234760696403
32,NX_PX_0,7064.2567052960685
32,ND_DX_1,548.1494566736465
32,ND_PX_0,1113.4622738095254
32,PX_DX_0,2.0304537552332844e-88
32,PX_NX_0,9022.80893025812
32,PX_PX_0,2590.576210653821
32,PX_UN_0,61177.201123323175
32,DX_UN_0,9461.153106409267
32,DX_DX_0,5661.252455102744
32,UN_UN_0,10428.284271158904
32,NX_DX_0,12785.97389347968
32,ND_NX_1,20.0242821919902
32,DX_PX_0,5798.533696579119
32,DX_NX_0,3627.7454858527326
