participant,map,bayes_factor
7,UN_PX_0,29959.177614835637
7,NX_PX_0,133.891687765315
7,PX_NX_0,9537.651702269408
7,ND_DX_1,95.37676711571737
7,DX_PX_0,116277.82077836174
7,DX_PX_0,101726.63067962416
7,PX_DX_0,73.87790419991622
7,UN_UN_0,5517.565444286632
7,ND_NX_0,4355.883576020032
7,ND_DX_0,290.0809615612347
7,DX_UN_0,10744.5860377782
7,UN_NX_0,91077.82425124566
7,PX_PX_0,325.9514670069522
7,DX_DX_0,134.51471536521686
7,ND_PX_0,269.2478429950509
7,UN_DX_0,7888.73901931675
7,ND_UN_0,740.3049455483907
7,NX_UN_0,5789.534920233499
7,ND_PX_1,66122.04254693376
7,DX_NX_0,705.5444850049741
7,NX_DX_0,5339.3992760622405
7,PX_UN_0,34351.98859460064
7,NX_NX_0,1017.1828716508026
7,ND_NX_1,70.16889815607986
