participant,map,bayes_factor
1,ND_NX_1,20.965143166546177
1,UN_DX_0,8224.697973713268
1,ND_UN_0,1449.6135900118547
1,DX_DX_0,314.78654051680064
1,NX_UN_0,151.25467783245466
1,UN_NX_0,100709.16881259513
1,UN_PX_0,1895.8870067561488
1,ND_PX_0,272.3737622020586
1,NX_DX_0,2524.0875796418572
1,ND_PX_1,7900.506630520236
1,PX_PX_0,388.54934705407095
1,PX_UN_0,60772.181049678045
1,PX_NX_0,165965.58315742476
1,NX_PX_0,3624.3497847080343
1,DX_NX_0,1583.2809094983572
1,PX_DX_0,80.27849102720224
1,NX_NX_0,913.3604922283126
1,ND_DX_0,274.94255511538927
1,DX_UN_0,9609.841902767395
1,ND_NX_0,4393.384097617158
1,UN_UN_0,11487.129459954045
1,ND_DX_1,563.3231146671042
1,DX_PX_0,5400.706562595245
