1,2,3,trial_num,map,A,B,C,wrong_objective,unique_id,wrong_attempts
0.47,0.18,0.48,12,NX_NX_0,0,0.16,0.35,0,ykxzvoU,1
-1,-1,-1,13,ND_UN_0,0.64,0.19,0.51,0,ykxzvoU,1
-1,-1,-1,14,ND_PX_0,0.79,0.17,0.08,0,ykxzvoU,1
0.44,0.27,-1,15,DX_DX_0,0.37,0.15,0.64,0,ykxzvoU,1
0.75,0.19,0.07,16,NX_DX_0,0.11,0.29,0.79,0,ykxzvoU,1
0.67,0.14,0.39,17,NX_PX_0,0.37,0.28,0.42,0,ykxzvoU,1
-1,-1,-1,18,ND_PX_1,0.59,0.87,0.16,0,ykxzvoU,1
0.73,0.33,-1,19,UN_PX_0,0.66,0.19,0.5,0,ykxzvoU,1
0.05,0,-1,20,UN_NX_0,0.33,0.21,0,0,ykxzvoU,1
0.92,0.17,-1,21,DX_UN_0,0.54,0.9,0.6,0,ykxzvoU,1
0.72,0.72,0,22,NX_UN_0,0.83,0.86,0.78,1,ykxzvoU,1
-1,-1,-1,23,ND_DX_0,0.6,0,0,0,ykxzvoU,1
-1,-1,-1,1,ND_PX_0,0.58,0.53,0.06,1,TGfulVA,1
0.83,0.45,-1,2,DX_UN_0,0.26,0.34,0.5,0,TGfulVA,1
-1,-1,-1,3,ND_DX_0,0.24,0.38,0.55,0,TGfulVA,1
0.36,0.53,-1,4,UN_PX_0,0.22,0.44,0.48,0,TGfulVA,1
0.51,0.28,-1,5,UN_NX_0,0.27,0.25,0.39,0,TGfulVA,1
0.25,0.75,-1,6,UN_DX_0,0.24,0,0.72,0,TGfulVA,1
0.38,0.34,0.37,7,NX_NX_0,0.44,0.46,0.45,0,TGfulVA,1
-1,-1,-1,8,ND_PX_1,0.85,0.23,0,0,TGfulVA,1
0.82,0.22,0.2,9,PX_UN_0,0.14,0.73,0.15,1,TGfulVA,1
-1,-1,-1,10,ND_NX_0,0.37,0.08,0.72,0,TGfulVA,1
0.14,0.74,-1,11,DX_DX_0,0.23,0.28,0.5,0,TGfulVA,1
0.66,0.42,0,12,PX_NX_0,0.25,0.76,0,0,TGfulVA,1
0.2,0.28,0.88,13,NX_DX_0,0.17,0.31,0.74,0,TGfulVA,1
0.19,0.16,0.75,14,NX_PX_0,0.67,0,0.47,0,TGfulVA,1
0.57,0.61,-1,15,UN_UN_0,0.38,0.52,0.16,0,TGfulVA,1
0.81,0.35,0.08,16,NX_UN_0,0.05,0.8,0.13,0,TGfulVA,1
0.12,0.67,0.69,17,PX_PX_0,0.45,0.53,0.18,0,TGfulVA,1
0.5,0.46,-1,18,DX_NX_0,0.83,0,0.39,1,TGfulVA,1
0.43,0.75,-1,19,DX_PX_0,0.47,0.66,0.27,0,TGfulVA,1
-1,-1,-1,20,ND_DX_1,0.3,0.82,0,0,TGfulVA,1
0.05,0.16,0.7,21,PX_DX_0,0.17,0.15,0.81,0,TGfulVA,1
-1,-1,-1,22,ND_NX_1,0.8,0.41,0,0,TGfulVA,1
-1,-1,-1,23,ND_UN_0,0.16,0.23,0.75,0,TGfulVA,1
-1,-1,-1,1,ND_NX_1,0.51,0,0.51,0,Kfq300x,0
0.47,0.47,-1,2,UN_UN_0,0.51,0.52,0.52,0,Kfq300x,0
0.51,0.51,0,3,PX_NX_0,0.49,0.49,0,0,Kfq300x,0
0.47,0.47,0,4,NX_PX_0,0.46,0,0.45,0,Kfq300x,0
-1,-1,-1,5,ND_DX_0,1,0,0,0,Kfq300x,0
0.47,0,0.47,6,PX_DX_0,0,0,0.48,0,Kfq300x,0
0.49,0.49,0,7,PX_UN_0,0.45,0.45,0.44,0,Kfq300x,0
0.49,0.48,-1,8,UN_PX_0,0.49,0,0.49,0,Kfq300x,0
0.46,0.46,-1,9,UN_NX_0,0,0.44,0.44,0,Kfq300x,0
0,0.43,0.42,10,NX_NX_0,0.5,0,0.49,0,Kfq300x,0
-1,-1,-1,11,ND_PX_0,0.48,0,0.48,0,Kfq300x,0
1,0,-1,12,DX_UN_0,0.42,0.43,0.43,0,Kfq300x,0
0,1,-1,13,DX_PX_0,0.48,0.48,0,0,Kfq300x,0
1,0,-1,14,DX_DX_0,0,0,1,0,Kfq300x,0
-1,-1,-1,15,ND_PX_1,0.49,0.5,0,0,Kfq300x,0
0.44,0.43,0,16,NX_DX_0,0,0,1,0,Kfq300x,0
0.48,0.47,0,17,PX_PX_0,0.49,0,0.5,0,Kfq300x,0
0.45,0.45,0,18,NX_UN_0,0.48,0.46,0.45,0,Kfq300x,0
-1,-1,-1,19,ND_DX_1,1,0,0,0,Kfq300x,0
-1,-1,-1,20,ND_NX_0,0.48,0,0.46,0,Kfq300x,0
0.48,0.48,-1,21,UN_DX_0,0,0,1,0,Kfq300x,0
-1,-1,-1,22,ND_UN_0,0.47,0.46,0.46,0,Kfq300x,0
1,0,-1,23,DX_NX_0,0.47,0,0.48,0,Kfq300x,0
